@relation 'AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R41-48,57-63-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R49-56-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemovePercentage-P50.0'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
-0.004287,-0.051483,-0.027014,-0.047196,-0.022727,0.023702,0.051483,0.266409,1.528777,-1.92867,0.392413,-3.457447,-1.136364,1.438854,3.457447,64.030647,-0.005591,-0.025136,-0.016954,-0.019545,-0.011364,0.011287,0.025136,0.63133,0.015288,-0.019287,0.003924,-0.034574,-0.011364,0.014389,0.034574,0.640306,-0.0034,-0.049878,-0.036343,-0.046479,-0.032943,0.024578,0.049878,0.657937,-5351,-36424,-36421,-31073,-31070,19605.92269,36424,-34012,900,2400,2700,1500,1800,1272.792206,2700,2400,0.003445,-0.01257,0.002244,-0.016015,-0.001201,0.007373,0.016015,0.620522,Good
0.000427,0.306216,0.263585,0.305789,0.263158,0.165283,0.306216,0.173659,2.418619,6.804584,15.576514,4.385965,13.157895,6.856223,15.576514,62.008163,-0.004926,0.38384,0.37276,0.388766,0.377685,0.219889,0.388766,0.519559,0.024186,0.068046,0.155765,0.04386,0.131579,0.068562,0.155765,0.620082,0.001243,0.115093,0.124195,0.11385,0.122953,0.06882,0.124195,0.615912,10.441723,77.195196,78.382399,66.753473,67.940676,42.116208,78.382399,21.959017,1821.073338,9617.982497,10251.28763,7796.90916,8430.214291,5269.188539,10251.28763,4427.846648,0.006148,0.168193,0.195755,0.162044,0.189607,0.103929,0.195755,0.563042,Bad
0.072392,0.942224,0.936826,0.869832,0.864434,0.522379,0.942224,0.326158,4.055462,42.59879,47.277152,38.543328,43.221691,24.902849,47.277152,67.653951,0.061802,0.62339,0.619235,0.561588,0.557433,0.341811,0.62339,0.633694,0.040555,0.425988,0.472772,0.385433,0.432217,0.249028,0.472772,0.67654,0.040506,0.413219,0.47966,0.372713,0.439154,0.248101,0.47966,0.678109,149.549549,531.695512,475.929189,382.145963,326.37964,256.131943,531.695512,43.129099,10569.84634,37382.14244,38180.29012,26812.2961,27610.44379,19254.33641,38180.29012,15169.14014,0.036156,0.471822,0.482715,0.435666,0.446559,0.265562,0.482715,0.659284,Bad
0.003645,0.475357,0.510626,0.471712,0.506981,0.283946,0.510626,0.297702,0.811445,25.910931,26.160477,25.099487,25.349033,14.801535,26.160477,64.663902,0.006641,0.264348,0.263289,0.257707,0.256648,0.150424,0.264348,0.695118,0.008114,0.259109,0.261605,0.250995,0.25349,0.148015,0.261605,0.646639,0.01381,0.056032,0.266529,0.042223,0.252719,0.123938,0.266529,0.700449,40.254911,115.501637,112.67958,75.246726,72.42467,56.695929,115.501637,24.27338,6323.255247,24067.99544,25231.4861,17744.74019,18908.23085,12680.7944,25231.4861,11596.78853,0.001441,0.294214,0.260153,0.292774,0.258712,0.160222,0.294214,0.63322,Bad
0,0.967862,0.977273,0.967862,0.977273,0.561525,0.977273,0.513716,0,37.241379,48.863636,37.241379,48.863636,25.305183,48.863636,78.473746,0,0.501612,0.488249,0.501612,0.488249,0.2858,0.501612,0.752535,0,0.372414,0.488636,0.372414,0.488636,0.253052,0.488636,0.784737,0,0.408236,0.483219,0.408236,0.483219,0.259155,0.483219,0.777136,84.351844,427.256489,446.147842,342.904645,361.795998,230.497299,446.147842,160.263982,8435.18439,36869.52309,39773.63083,28434.3387,31338.44644,20023.94288,39773.63083,18700.718,0,0.489865,0.531535,0.489865,0.531535,0.295343,0.531535,0.74465,Bad
0.006449,0.056449,0.056449,0.05,0.05,0.030842,0.056449,0.026612,6.492806,5.801316,8.992806,-0.691489,2.5,3.803465,8.992806,53.671074,0,0.025,0.025,0.025,0.025,0.014434,0.025,0.5125,0.064928,0.058013,0.089928,-0.006915,0.025,0.038035,0.089928,0.536711,0.005386,0.478863,0.511796,0.473477,0.50641,0.28475,0.511796,0.512785,19,-37498,-37495,-37517,-37514,21654.10062,37517,-42335.5,1900,2200,2500,300,600,1126.942767,2500,850,0.028459,0.067839,0.081728,0.03938,0.053269,0.037274,0.081728,0.370555,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
-0.030039,0.838468,0.815921,0.868507,0.84596,0.486494,0.868507,0.478015,-1.295893,35.790488,41.002087,37.086381,42.29798,22.648563,42.29798,75.537007,-0.006228,0.421128,0.403632,0.427355,0.409859,0.240005,0.427355,0.784484,-0.012959,0.357905,0.410021,0.370864,0.42298,0.226486,0.42298,0.75537,-0.01176,0.348687,0.406748,0.360448,0.418508,0.222787,0.418508,0.759403,-150.046667,14873.30878,10219.90941,15023.35545,10369.95608,7530.912407,15023.35545,-6036.121887,8212.768346,41203.65908,43155.03205,32990.89073,34942.26371,22249.93707,43155.03205,20711.2725,-0.015043,0.419629,0.421878,0.434673,0.436921,0.247343,0.436921,0.735411,Good
-0.03906,0.883331,0.847702,0.922391,0.886762,0.511437,0.922391,0.33699,-1.705525,37.95423,42.632593,39.659755,44.338118,23.842578,44.338118,68.526304,-0.015464,0.52983,0.526008,0.545294,0.541472,0.309327,0.545294,0.705281,-0.017055,0.379542,0.426326,0.396598,0.443381,0.238426,0.443381,0.685263,-0.012113,0.386831,0.440866,0.398943,0.452979,0.243484,0.452979,0.683659,-1694.107964,18393.49935,13687.53883,20087.60732,15381.64679,9961.562083,20087.60732,-8981.861377,6333.239489,39933.50357,40963.93504,33600.26408,34630.69555,21683.64056,40963.93504,18091.91786,-0.019762,0.441446,0.448832,0.461208,0.468594,0.262847,0.468594,0.662121,Bad
0.02486,0.287227,0.233791,0.262368,0.208931,0.145236,0.287227,0.132409,4.080353,9.556164,14.526924,5.475811,10.446571,6.343139,14.526924,59.24045,0.008542,0.285669,0.268126,0.277128,0.259584,0.157603,0.285669,0.571524,0.040804,0.095562,0.145269,0.054758,0.104466,0.063431,0.145269,0.592404,0.017527,0.107709,0.131281,0.090182,0.113754,0.065046,0.131281,0.590823,13.434258,79.55678,86.446655,66.122521,73.012397,44.472138,86.446655,9.166634,2681.7934,10367.18857,11348.32079,7685.395171,8666.527392,5616.876474,11348.32079,4882.458083,0.019156,0.141491,0.146096,0.122335,0.12694,0.077906,0.146096,0.553573,Bad
