KB_Relative_Information_tr_vs_tr-x1,KB_Relative_Information_tr_vs_te,KB_Relative_Information_tr-x1_vs_te,KB_Relative_Information_tr-x1_vs_te-x1,KB_Relative_Information_tr_vs_te-x1,KB_Relative_Information_Range,KB_Relative_Information_Avg,KB_Relative_Information_StDev,Kappa_tr-x1_vs_te,Kappa_tr_vs_te,Kappa_tr_vs_tr-x1,Kappa_tr-x1_vs_te-x1,Kappa_tr_vs_te-x1,Kappa_Range,Kappa_Avg,Kappa_StDev,IR_Recall_tr-x1_vs_te-x1,IR_Recall_tr_vs_te-x1,IR_Recall_tr_vs_tr-x1,IR_Recall_tr_vs_te,IR_Recall_tr-x1_vs_te,IR_Recall_Range,IR_Recall_StDev,IR_Recall_Avg,PercCorrect_tr_vs_tr-x1,PercCorrect_tr-x1_vs_te-x1,PercCorrect_tr_vs_te-x1,PercCorrect_tr-x1_vs_te,PercCorrect_tr_vs_te,PercCorrect_Range,PercCorrect_Avg,PercCorrect_StDev,Unweighted_Macro_F_tr_vs_tr-x1,Unweighted_Macro_F_tr_vs_te-x1,Unweighted_Macro_F_tr_vs_te,Unweighted_Macro_F_tr-x1_vs_te-x1,Unweighted_Macro_F_tr-x1_vs_te,Unweighted_Macro_F_Range,Unweighted_Macro_F_Avg,Unweighted_Macro_F_StDev,IR_Precision_tr_vs_te,IR_Precision_tr_vs_te-x1,IR_Precision_tr-x1_vs_te,IR_Precision_tr-x1_vs_te-x1,IR_Precision_tr_vs_tr-x1,IR_Precision_Range,IR_Precision_StDev,IR_Precision_Avg,SF_Entropy_Gain_tr_vs_te,SF_Entropy_Gain_tr-x1_vs_te,SF_Entropy_Gain_tr_vs_te-x1,SF_Entropy_Gain_tr-x1_vs_te-x1,SF_Entropy_Gain_tr_vs_tr-x1,SF_Entropy_Gain_Range,SF_Entropy_Gain_Avg,SF_Entropy_Gain_StDev,KB_Mean_Information_tr_vs_te,KB_Mean_Information_tr-x1_vs_te-x1,KB_Mean_Information_tr_vs_tr-x1,KB_Mean_Information_tr-x1_vs_te,KB_Mean_Information_tr_vs_te-x1,KB_Mean_Information_Range,KB_Mean_Information_Avg,KB_Mean_Information_StDev,Weighted_AreaUnderROC_tr_vs_te-x1,Weighted_AreaUnderROC_tr_vs_tr-x1,Weighted_AreaUnderROC_tr-x1_vs_te,Weighted_AreaUnderROC_tr-x1_vs_te-x1,Weighted_AreaUnderROC_tr_vs_te,Weighted_AreaUnderROC_Range,Weighted_AreaUnderROC_Avg,Weighted_AreaUnderROC_StDev,TargetLabel
4322.95585,28099.83013,23776.87429,21420.5424,25743.49824,28099.83013,10787.21043,14435.91525,0.77262,0.7153,-0.05732,0.95324,0.89592,0.95324,0.30055,0.48784,0.47662,0.4496,-0.02702,0.57642,0.60343,0.60343,0.30856,0.5964,-2.70169,47.6619,44.96021,60.34339,57.6417,60.34339,59.64033,30.85596,-0.02954,0.55953,0.57453,0.58907,0.60408,0.60408,0.56735,0.33618,0.21929,0.63933,0.23373,0.65376,-0.01444,0.65376,0.30489,0.64944,316.69924,285.27424,258.85324,227.42824,31.425,316.69924,85.60377,159.35863,0.6694,0.58384,-0.02524,0.69464,0.5586,0.69464,0.1864,0.36474,0.49186,-0.0194,0.42719,0.51126,0.40779,0.51126,0.72067,0.26763,Bad
7200,41000,33800,37400,44600,44600,21000,22869.48476,1.00629,0.94828,-0.05801,0.9714,0.9134,1.00629,0.39351,0.55485,0.4857,0.45948,-0.02622,0.31974,0.34596,0.4857,0.23965,0.73675,-2.62195,48.57023,45.94828,34.59564,31.97368,48.57023,73.675,23.96464,-0.02902,0.4766,0.47896,0.50563,0.50798,0.50798,0.69054,0.28447,0.26896,0.46675,0.2944,0.49219,-0.02543,0.49219,0.23432,0.7489,22922,43218,-8130,12166,-20296,43218,-39990,18219.66974,0.63947,0.9714,-0.05244,0.69191,0.91897,0.9714,0.4735,0.47929,0.46065,-0.02505,0.51135,0.4857,0.48631,0.51135,0.69569,0.28098,Bad
2802.89122,14818.23738,12015.34616,10513.56538,13316.4566,14818.23738,4440.81598,7426.99648,0.75137,0.72621,-0.02516,0.84091,0.81574,0.84091,0.05018,0.45398,0.42046,0.40775,-0.0127,0.4456,0.45831,0.45831,0.25054,0.50441,-1.27019,42.04546,40.77527,45.83072,44.56053,45.83072,50.44068,25.05408,-0.01525,0.40906,0.44337,0.4243,0.45861,0.45861,0.50217,0.25094,0.37036,0.43503,0.36269,0.42736,0.00767,0.43503,0.23181,0.53357,137.21334,116.82972,106.93578,86.55216,20.38362,137.21334,12.88826,66.29193,0.4253,0.36636,0.00634,0.41895,0.3727,0.4253,0.04193,0.22955,0.33125,0.00341,0.33049,0.32784,0.3339,0.3339,0.5763,0.19104,Good
4161.41837,16713.14134,12551.72297,14545.83316,18707.25153,18707.25153,9699.13356,9218.23936,0.21637,0.21674,0.00037,0.27657,0.27694,0.27694,0.24958,0.14451,0.13829,0.15962,0.02133,0.07418,0.05286,0.15962,0.07109,0.64391,2.13287,13.82867,15.96154,5.28558,7.41844,15.96154,64.39102,7.10931,0.0063,0.13357,0.10484,0.12728,0.09855,0.13357,0.61841,0.06807,0.04458,0.16371,0.05377,0.1729,-0.00919,0.1729,0.0795,0.6629,77.07677,54.45266,39.19362,16.5695,22.62412,77.07677,-78.61048,32.48537,0.22596,0.26543,0.02606,0.19989,0.2915,0.2915,0.24094,0.14474,0.17862,-0.00286,0.16685,0.18148,0.16399,0.18148,0.68281,0.09991,Bad
3509.71817,6983.6115,3473.89334,5831.04636,9340.76453,9340.76453,4855.09534,4082.11587,0.29813,0.31505,0.01692,0.27751,0.29443,0.31505,0.13783,0.1714,0.13876,0.18015,0.0414,0.06612,0.02472,0.18015,0.07714,0.60824,4.13982,13.8756,18.01541,2.47209,6.6119,18.01541,60.82363,7.71413,0.01752,0.22206,0.17758,0.20454,0.16006,0.22206,0.53483,0.11202,0.13324,0.17613,0.1266,0.16949,0.00664,0.17613,0.08917,0.59713,23.19783,-2.69397,46.2689,20.3771,25.8918,46.2689,9.65612,18.9387,0.02359,0.10933,0.03828,-0.01469,0.14761,0.14761,0.13672,0.06542,0.11839,0.00501,0.12923,0.11338,0.13424,0.13424,0.60415,0.0718,Bad
2399.51003,46769.84554,44370.33551,44351.07823,46750.58826,46769.84554,21740.96724,26322.58027,1.1135,1.11453,0.00103,1.1143,1.11533,1.11533,0.42247,0.64341,0.55715,0.55769,0.00054,0.52858,0.52804,0.55769,0.31365,0.71842,0.05352,55.71509,55.76861,52.80449,52.85801,55.76861,71.84182,31.36488,0.00052,0.56438,0.57939,0.56386,0.57888,0.57939,0.70403,0.33009,0.435,0.56108,0.43446,0.56054,0.00053,0.56108,0.29196,0.74104,701.8122,677.81709,611.84893,587.85382,23.99511,701.8122,122.48114,374.22996,0.97692,1.04167,0.00105,0.97588,1.04272,1.04272,0.3984,0.58334,0.61315,0.00005,0.61629,0.6131,0.61634,0.61634,0.69218,0.35491,Bad
1796.40599,12973.36862,11176.96263,11389.90646,13186.31245,13186.31245,5095.74946,7071.7396,0.57624,0.54043,-0.03581,0.64646,0.61065,0.64646,0.05911,0.34414,0.32323,0.30103,-0.0222,0.25777,0.27997,0.32323,0.16889,0.53052,-2.2198,32.32323,30.10343,27.99721,25.77741,32.32323,53.05181,16.88927,-0.02288,0.30051,0.28434,0.3234,0.30722,0.3234,0.52234,0.17581,0.21738,0.3335,0.21103,0.32716,0.00635,0.3335,0.16421,0.5567,134.21398,130.47457,119.81382,116.0744,3.73942,134.21398,6.32843,72.50688,0.3025,0.38498,-0.01859,0.32109,0.36639,0.38498,0.07864,0.20031,0.42707,-0.0124,0.42674,0.43946,0.41435,0.43946,0.5633,0.24658,Bad
1272.76324,36286.50242,35013.73918,31440.04575,32712.80898,36286.50242,14493.38287,19612.21505,0.7306,0.72852,-0.00208,0.72351,0.72143,0.7306,0.30541,0.41917,0.36176,0.36102,-0.00074,0.47735,0.47808,0.47808,0.24684,0.62458,0.27421,35.8277,36.10191,47.46066,47.73487,47.73487,62.37146,24.58574,-0.00105,0.37749,0.47732,0.37854,0.47837,0.47837,0.62024,0.2504,0.27357,0.36504,0.2741,0.36557,-0.00052,0.36557,0.18824,0.67469,27184.01413,22884.50928,-15751.56532,-20051.07016,4299.50485,42935.57944,-50785.53707,17735.97647,0.92909,0.73214,-0.01049,0.93958,0.72165,0.93958,0.22356,0.48699,0.4666,0.02016,0.44255,0.44644,0.46271,0.4666,0.64413,0.26258,Bad
4590.25197,9396.42114,4806.16917,7159.93974,11750.19171,11750.19171,5349.06356,5222.82158,0.3162,0.34515,0.02896,0.2823,0.31126,0.34515,0.13991,0.18204,0.14115,0.20328,0.06213,0.06,-0.00213,0.20328,0.08623,0.62192,6.21272,14.11483,20.32755,-0.21265,6.00007,20.32755,62.19247,8.62341,0.0295,0.27844,0.2202,0.24894,0.1907,0.27844,0.49472,0.13803,0.25663,0.25259,0.25429,0.25025,0.00233,0.25663,0.14634,0.6247,66.4724,23.48354,87.09644,44.10759,42.98886,87.09644,22.83431,37.38841,0.08746,0.16918,0.05496,0.0325,0.22414,0.22414,0.1354,0.09542,0.12295,-0.00134,0.14361,0.12429,0.14227,0.14361,0.60007,0.07735,Bad
5969.28923,17217.80125,11248.51202,12812.80948,18782.09872,18782.09872,6885.52179,9027.71871,0.50113,0.51458,0.01345,0.5202,0.53365,0.53365,0.13187,0.29887,0.2601,0.27477,0.01467,0.20314,0.18847,0.27477,0.13702,0.58344,1.46676,26.0101,27.47686,18.84709,20.31386,27.47686,58.34431,13.70167,0.00621,0.28104,0.25867,0.27482,0.25246,0.28104,0.56162,0.1543,0.1864,0.28916,0.16509,0.26786,0.0213,0.28916,0.13795,0.58908,214.54253,155.68827,198.96078,140.10652,58.85426,214.54253,-26.45374,105.35226,0.33583,0.44767,0.05877,0.27706,0.50644,0.50644,0.1216,0.23787,0.36,0.02179,0.32577,0.33821,0.34756,0.36,0.58624,0.19823,Bad
