KB_Relative_Information_tr_vs_tr-x1,KB_Relative_Information_tr_vs_te,KB_Relative_Information_tr-x1_vs_te,KB_Relative_Information_tr-x1_vs_te-x1,KB_Relative_Information_tr_vs_te-x1,KB_Relative_Information_Range,KB_Relative_Information_Avg,KB_Relative_Information_StDev,Kappa_tr-x1_vs_te,Kappa_tr_vs_te,Kappa_tr_vs_tr-x1,Kappa_tr-x1_vs_te-x1,Kappa_tr_vs_te-x1,Kappa_Range,Kappa_Avg,Kappa_StDev,IR_Recall_tr-x1_vs_te-x1,IR_Recall_tr_vs_te-x1,IR_Recall_tr_vs_tr-x1,IR_Recall_tr_vs_te,IR_Recall_tr-x1_vs_te,IR_Recall_Range,IR_Recall_StDev,IR_Recall_Avg,PercCorrect_tr_vs_tr-x1,PercCorrect_tr-x1_vs_te-x1,PercCorrect_tr_vs_te-x1,PercCorrect_tr-x1_vs_te,PercCorrect_tr_vs_te,PercCorrect_Range,PercCorrect_Avg,PercCorrect_StDev,Unweighted_Macro_F_tr_vs_tr-x1,Unweighted_Macro_F_tr_vs_te-x1,Unweighted_Macro_F_tr_vs_te,Unweighted_Macro_F_tr-x1_vs_te-x1,Unweighted_Macro_F_tr-x1_vs_te,Unweighted_Macro_F_Range,Unweighted_Macro_F_Avg,Unweighted_Macro_F_StDev,IR_Precision_tr_vs_te,IR_Precision_tr_vs_te-x1,IR_Precision_tr-x1_vs_te,IR_Precision_tr-x1_vs_te-x1,IR_Precision_tr_vs_tr-x1,IR_Precision_Range,IR_Precision_StDev,IR_Precision_Avg,SF_Entropy_Gain_tr_vs_te,SF_Entropy_Gain_tr-x1_vs_te,SF_Entropy_Gain_tr_vs_te-x1,SF_Entropy_Gain_tr-x1_vs_te-x1,SF_Entropy_Gain_tr_vs_tr-x1,SF_Entropy_Gain_Range,SF_Entropy_Gain_Avg,SF_Entropy_Gain_StDev,KB_Mean_Information_tr_vs_te,KB_Mean_Information_tr-x1_vs_te-x1,KB_Mean_Information_tr_vs_tr-x1,KB_Mean_Information_tr-x1_vs_te,KB_Mean_Information_tr_vs_te-x1,KB_Mean_Information_Range,KB_Mean_Information_Avg,KB_Mean_Information_StDev,Weighted_AreaUnderROC_tr_vs_te-x1,Weighted_AreaUnderROC_tr_vs_tr-x1,Weighted_AreaUnderROC_tr-x1_vs_te,Weighted_AreaUnderROC_tr-x1_vs_te-x1,Weighted_AreaUnderROC_tr_vs_te,Weighted_AreaUnderROC_Range,Weighted_AreaUnderROC_Avg,Weighted_AreaUnderROC_StDev,TargetLabel
11132.80959,32412.92526,21280.11567,22851.9667,33984.77629,33984.77629,14325.14283,16600.77461,0.70366,0.80061,0.09695,0.72222,0.81917,0.81917,0.34454,0.44145,0.36111,0.41295,0.05184,0.36608,0.31425,0.41295,0.21185,0.6825,5.18357,36.11111,41.29468,31.42459,36.60816,41.29468,68.25035,21.18521,0.04836,0.41381,0.40617,0.36545,0.35781,0.41381,0.66964,0.22364,0.32835,0.41715,0.27322,0.36203,0.05512,0.41715,0.20381,0.69349,3575.78509,231.30513,3569.48417,225.00421,3344.47996,3575.78509,-2338.72058,1751.59858,0.58351,0.60155,0.10274,0.48078,0.70429,0.70429,0.32518,0.34817,0.4672,0.04937,0.38889,0.41783,0.43826,0.4672,0.68898,0.24823,Good
12538.20696,42492.67968,29954.47272,28023.26563,40561.47259,42492.67968,14644.1979,21004.7037,0.77359,0.91845,0.14486,0.80699,0.95185,0.95185,0.23652,0.50178,0.4035,0.47885,0.07535,0.48041,0.40506,0.48041,0.25701,0.61443,7.53496,40.34965,47.88462,40.50571,48.04068,48.04068,61.44263,25.70092,0.07245,0.47643,0.50116,0.40398,0.42871,0.50116,0.60764,0.26315,0.36463,0.47938,0.28926,0.404,0.07537,0.47938,0.22886,0.64341,45469.15984,22823.48177,-3878.92373,-26524.6018,22645.67807,49348.08357,-78927.3571,22830.93014,0.94802,0.78515,0.1502,0.79783,0.93535,0.94802,0.2328,0.5041,0.4617,0.07253,0.39858,0.38917,0.47111,0.47111,0.62383,0.25013,Bad
6589.28365,18657.65342,12068.36977,13594.34549,20183.62914,20183.62914,7110.01489,9711.18752,0.64654,0.66893,0.02239,0.61111,0.6335,0.66893,0.12048,0.36991,0.30556,0.34141,0.03585,0.20567,0.16982,0.34141,0.15832,0.60477,3.58525,30.55556,34.14081,16.98189,20.56714,34.14081,60.4766,15.83174,0.01592,0.40311,0.34359,0.38719,0.32767,0.40311,0.5315,0.21245,0.27718,0.44421,0.26835,0.43538,0.00883,0.44421,0.21674,0.56868,190.9363,125.92394,191.83415,126.82179,65.01236,191.83415,-5.72882,95.49216,0.38172,0.49496,0.06866,0.31306,0.56361,0.56361,0.11512,0.26523,0.50128,0.00908,0.49729,0.4922,0.50637,0.50637,0.55237,0.28829,Bad
0,5600,5600,5800,5800,5800,2950,3291.90927,0.54717,0.51507,-0.0321,0.54717,0.51507,0.54717,0.26556,0.30692,0.27358,0.25893,-0.01466,0.22321,0.23787,0.27358,0.14428,0.64206,-1.46563,27.35849,25.89286,23.78706,22.32143,27.35849,64.20569,14.4277,-0.0155,0.42403,0.40852,0.43952,0.42402,0.43952,0.5531,0.24497,0.47199,0.50898,0.49015,0.52714,-0.01816,0.52714,0.28891,0.51828,-8577.08747,-5688.85044,-8580.49735,-5692.26032,-2888.23703,8580.49735,-15424.56403,4284.64444,0.44643,0.54717,-0.02931,0.47574,0.51786,0.54717,0.28411,0.28855,0.1832,-0.01875,0.21606,0.20195,0.19732,0.21606,0.67116,0.11566,Bad
6476.78655,22988.77373,16511.98718,17873.12131,24349.90785,24349.90785,10149.4153,12101.2994,0.47428,0.50427,0.02999,0.50505,0.53504,0.53504,0.22226,0.2919,0.25252,0.28919,0.03667,0.18716,0.15049,0.28919,0.13442,0.63821,3.66691,25.25252,28.91943,15.04876,18.71567,28.91943,63.8212,13.44225,0.01844,0.28765,0.2497,0.26922,0.23127,0.28765,0.60315,0.15079,0.19617,0.29451,0.18115,0.27949,0.01502,0.29451,0.14319,0.64079,276.91651,216.75527,272.37146,212.21022,60.16124,276.91651,42.60907,143.33092,0.42874,0.51733,0.03864,0.39011,0.55597,0.55597,0.21529,0.27845,0.43921,0.00622,0.431,0.43299,0.43722,0.43921,0.65062,0.25122,Bad
954.45642,7119.48373,6165.02731,6775.90286,7730.35928,7730.35928,4101.85438,4037.84266,0.29316,0.29225,-0.00091,0.20845,0.20753,0.29316,0.13687,0.14862,0.10422,0.11329,0.00907,0.08088,0.07181,0.11329,0.05517,0.58951,0.90662,10.4223,11.32892,7.18094,8.08756,11.32892,58.95084,5.51718,0.0034,0.10374,0.13086,0.10034,0.12746,0.13086,0.551,0.06767,0.06318,0.13493,0.06994,0.14169,-0.00677,0.14169,0.06606,0.61944,40.41552,30.98679,41.53121,32.10248,9.42873,41.53121,16.69946,21.28997,0.09387,0.10429,0.01126,0.08261,0.11556,0.11556,0.10398,0.05807,0.06852,-0.00067,0.14643,0.06919,0.14576,0.14643,0.63162,0.0696,Bad
7806.11641,36868.79294,29062.67653,29094.29506,36900.41147,36900.41147,15236.6504,19306.73864,0.80105,0.8133,0.01226,0.84223,0.85449,0.85449,0.24217,0.47823,0.42063,0.43654,0.0159,0.39536,0.37945,0.43654,0.23624,0.62843,2.9021,40.75175,43.65385,36.63375,39.53584,43.65385,62.51552,23.26811,0.00701,0.42891,0.42679,0.42191,0.41978,0.42891,0.61353,0.24502,0.31781,0.44935,0.31336,0.4449,0.00445,0.44935,0.22664,0.65796,17530.0681,22669.28676,-6057.61961,-918.40095,-5139.21866,23587.68771,-43045.4783,10960.26401,0.75004,0.7647,0.04261,0.70743,0.80731,0.80731,0.28521,0.43824,0.48045,0.0165,0.46678,0.46395,0.48328,0.48328,0.64663,0.27352,Bad
8837.08973,37063.55022,28226.46049,29548.38301,38385.47274,38385.47274,17250.28502,19572.15905,0.8005,0.81661,0.01611,0.79293,0.80904,0.81661,0.44406,0.46469,0.39646,0.40741,0.01095,0.35773,0.34678,0.40741,0.2187,0.73612,1.09478,39.64646,40.74124,34.67781,35.77259,40.74124,73.61182,21.87046,0.00805,0.41356,0.40995,0.40551,0.4019,0.41356,0.71935,0.23543,0.33709,0.40607,0.3257,0.39468,0.01139,0.40607,0.21316,0.74198,421.38363,335.37791,401.30525,315.29954,86.00572,421.38363,96.32547,215.697,0.67813,0.7518,0.02034,0.65779,0.77214,0.77214,0.39725,0.41465,0.47937,0.01273,0.47628,0.46664,0.48901,0.48901,0.70775,0.27595,Bad
10443.34614,21027.21832,10583.87217,19291.9601,29735.30625,29735.30625,14592.71163,12895.1693,0.58049,0.61213,0.03164,0.58049,0.61213,0.61213,0.29816,0.34452,0.29024,0.325,0.03476,0.01579,-0.01897,0.325,0.15473,0.73111,3.47561,29.02439,32.5,-1.89666,1.57895,32.5,73.11136,15.47295,0.0187,0.46932,0.35538,0.45061,0.33667,0.46932,0.5918,0.2374,0.18423,0.58905,0.17373,0.57855,0.0105,0.58905,0.27535,0.64311,-59819.92739,-57811.65187,-59732.8465,-57724.57098,-2008.27552,59819.92739,-53998.95162,33942.09604,-0.00846,0.44702,0.10048,-0.10894,0.5475,0.55596,0.41501,0.26311,0.245,0.00483,0.24833,0.24016,0.25316,0.25316,0.67157,0.14246,Bad
63.74299,1340.93773,1277.19474,1299.43398,1363.17697,1363.17697,549.67603,762.7078,0.3676,0.3696,0.002,0.418,0.41999,0.41999,0.06825,0.22829,0.209,0.20192,-0.00708,0.19643,0.2035,0.209,0.11709,0.52718,-0.70755,20.89986,20.19231,20.3504,19.64286,20.89986,52.7181,11.70939,-0.00125,0.23466,0.21158,0.23591,0.21283,0.23591,0.5014,0.12952,0.24006,0.27697,0.23415,0.27105,0.00591,0.27697,0.14833,0.5379,51.11755,50.53962,51.3102,50.73226,0.57794,51.3102,-15.35659,29.40256,0.14632,0.15787,-0.00026,0.14659,0.15761,0.15787,0.03494,0.08793,0.27124,-0.00265,0.25624,0.27389,0.25359,0.27389,0.55638,0.15244,Bad
481.93302,17021.1992,16539.26618,14103.76259,14585.69561,17021.1992,7724.4854,9041.99057,0.30211,0.30256,0.00045,0.19831,0.19876,0.30256,0.26251,0.15067,0.09916,0.10106,0.0019,0.21314,0.21123,0.21314,0.1011,0.61663,0.19022,9.91554,10.10576,21.12325,21.31347,21.31347,61.66286,10.11002,0.00058,0.10668,0.21698,0.10611,0.2164,0.21698,0.61268,0.10357,0.0199,0.09333,0.01977,0.0932,0.00014,0.09333,0.04432,0.66704,179.84355,220.31449,-103.51633,-63.0454,-40.47093,283.35989,-224.07456,121.62211,0.40033,0.16112,-0.00682,0.40714,0.15431,0.40714,0.17424,0.19069,0.11101,-0.00056,0.16202,0.11157,0.16146,0.16202,0.66539,0.08146,Bad
2167.79817,15359.03964,13191.24147,12588.37001,14756.16818,15359.03964,7676.04878,8119.84868,0.3963,0.36345,-0.03284,0.36111,0.32827,0.3963,0.23173,0.21008,0.18056,0.16451,-0.01604,0.22274,0.23878,0.23878,0.119,0.6058,-1.60437,18.05556,16.45119,23.87844,22.27407,23.87844,60.58006,11.90042,-0.01928,0.16589,0.22344,0.18517,0.24272,0.24272,0.60254,0.12053,0.12212,0.18412,0.118,0.18,0.00412,0.18412,0.09083,0.64211,125.39975,126.56094,92.39182,93.553,-1.16118,126.56094,18.77551,64.62846,0.28756,0.23033,-0.0286,0.31616,0.20174,0.31616,0.19913,0.154,0.16304,-0.01204,0.18672,0.17508,0.17468,0.18672,0.68957,0.1012,Bad
300.00125,2800,2499.99875,2599.99875,2900,2900,1199.99969,1564.18211,0.41632,0.39809,-0.01823,0.45573,0.4375,0.45573,0.07932,0.24711,0.22787,0.21978,-0.00809,0.21429,0.22237,0.22787,0.1277,0.53636,-0.80862,22.78665,21.97802,22.2372,21.42857,22.78665,53.63622,12.77007,-0.00883,0.24091,0.22516,0.24974,0.234,0.24974,0.52752,0.13729,0.20927,0.23314,0.21784,0.24171,-0.00857,0.24171,0.1306,0.5344,-18196,-18199.00001,-18195,-18198.00001,3.00001,18199.00001,-14460,10506.04293,0.27679,0.30334,0.01466,0.26213,0.318,0.318,0.08871,0.16842,0.24018,-0.00584,0.22807,0.24602,0.22223,0.24602,0.54911,0.13539,Bad
700,10200,9500,9400,10100,10200,4650,5665.39201,0.24362,0.24885,0.00522,0.23764,0.24286,0.24885,0.10108,0.14047,0.11882,0.10415,-0.01467,0.10415,0.11882,0.11882,0.06464,0.54697,-1.46721,11.88198,10.41476,11.88198,10.41476,11.88198,54.69699,6.46433,-0.00573,0.10418,0.12018,0.10991,0.12591,0.12591,0.5406,0.06678,0.10477,0.15748,0.07712,0.12983,0.02765,0.15748,0.07195,0.57622,-131754,-81377,-162843,-112466,-50377,162843,-138777.5,74527.48067,0.2083,0.23764,-0.02934,0.23764,0.2083,0.23764,0.09394,0.12929,0.13109,0.01227,0.12321,0.11882,0.13548,0.13548,0.55261,0.0736,Bad
2600,51700,49100,48400,51000,51700,24275,28917.28145,1.03167,1.03167,0,1.05405,1.05405,1.05405,0.47857,0.60217,0.52703,0.52703,0,0.53846,0.53846,0.53846,0.30762,0.73363,0,52.7027,52.7027,53.84615,53.84615,53.84615,73.36279,30.76155,0,0.52944,0.55993,0.52944,0.55993,0.55993,0.72766,0.31472,0.40099,0.52753,0.40099,0.52753,0,0.52753,0.27297,0.76787,83061,83035,42318,42292,26,83061,-30845.25,39826.03845,1.07692,1.05405,0,1.07692,1.05405,1.07692,0.46726,0.61523,0.52703,0,0.52154,0.52703,0.52154,0.52703,0.73786,0.3027,Bad
10133.65884,34919.88213,24786.22329,24059.6518,34193.31064,34919.88213,16651.67956,17523.84879,0.48466,0.58652,0.10185,0.4465,0.54836,0.58652,0.46994,0.30149,0.22325,0.27692,0.05367,0.37398,0.32031,0.37398,0.17825,0.71616,5.36713,22.32518,27.69231,32.03118,37.39831,37.39831,71.61633,17.82536,0.05129,0.3144,0.37136,0.2631,0.32006,0.37136,0.7053,0.18581,0.12129,0.20649,0.07084,0.15604,0.05045,0.20649,0.08968,0.79764,31437.708,19532.52026,14257.44239,2352.25465,11905.18774,31437.708,-14075.2843,12960.03993,0.62041,0.38013,0.10282,0.51759,0.48294,0.62041,0.39968,0.29721,0.28938,0.06199,0.17641,0.22739,0.2384,0.28938,0.80485,0.1384,Good
-2624.31546,-4035.43905,-1411.12359,3167.05305,542.73759,4578.17664,1867.66582,2168.86222,0.14178,0.10963,-0.03215,0.21043,0.17828,0.21043,0.04538,0.09744,0.10521,0.02102,-0.08419,-0.23715,-0.15295,0.25817,0.11722,0.56162,-8.41932,10.52145,2.10212,-15.29525,-23.71458,25.8167,56.16179,11.72189,-0.05173,0.04933,-0.04672,0.10107,0.00501,0.10107,0.46288,0.04722,-0.01648,0.23506,-0.03402,0.21752,0.01754,0.25154,0.11817,0.61561,-74.81246,-33.10613,-30.89987,10.80646,-41.70633,74.81246,-8.61587,30.86562,-0.28124,0.10749,-0.06575,-0.21549,0.04174,0.32298,0.08282,0.14361,0.10045,-0.00476,0.07087,0.10521,0.06611,0.10521,0.52552,0.05144,Bad
619.04632,15028.51748,14409.47116,14413.95451,15033.00082,15033.00082,5659.08819,8503.06628,0.60793,0.56546,-0.04247,0.67677,0.6343,0.67677,0.07225,0.36012,0.33838,0.31301,-0.02537,0.22147,0.24685,0.33838,0.1662,0.54937,-2.53735,33.83838,31.30103,24.68478,22.14743,33.83838,54.93689,16.62043,-0.02605,0.32329,0.28067,0.34934,0.30672,0.34934,0.53039,0.18301,0.2196,0.3555,0.21645,0.35235,0.00315,0.3555,0.17419,0.56362,154.49519,170.19032,126.06644,141.76157,-15.69513,170.19032,-6.64901,86.5434,0.38324,0.51458,-0.05491,0.43816,0.45966,0.51458,0.06905,0.26201,0.49858,-0.00582,0.46984,0.50439,0.46402,0.50439,0.56258,0.27992,Bad
2500,2596.6665,96.6665,796.66648,3296.66648,3296.66648,1198.33322,1443.22292,0.09091,0.12606,0.03515,0.09091,0.12606,0.12606,0.05424,0.06426,0.04546,0.14602,0.10056,0.03996,-0.06061,0.14602,0.06456,0.57438,10.05632,4.54546,14.60177,-6.06061,3.99571,14.60177,57.43832,6.45618,0.04635,0.16711,0.12308,0.12076,0.07674,0.16711,0.41631,0.07507,0.31436,0.43167,0.27019,0.3875,0.04417,0.43167,0.20897,0.48412,-14425.19026,-14450.19026,-14418.19026,-14443.19026,25,14450.19026,-10749.84686,8333.59037,0.07962,0.09053,0.20121,-0.12159,0.29174,0.29174,0.1486,0.12907,0.05306,0.01286,0.06743,0.0402,0.08029,0.08029,0.52538,0.03689,Bad
3847.76456,13883.55798,10035.79341,10725.02328,14572.78784,14572.78784,5362.38279,7280.92789,0.66165,0.69928,0.03763,0.7197,0.75732,0.75732,0.13377,0.4106,0.35985,0.39546,0.03561,0.2808,0.24519,0.39546,0.19132,0.59249,3.56106,35.98485,39.54591,24.51933,28.08039,39.54591,59.24907,19.13251,0.02052,0.402,0.34888,0.38148,0.32836,0.402,0.55992,0.21212,0.27225,0.41522,0.24829,0.39126,0.02396,0.41522,0.20047,0.59043,128.83766,94.15646,128.51671,93.83551,34.6812,128.83766,28.85109,65.82117,0.29893,0.3711,0.02604,0.27289,0.39714,0.39714,0.0877,0.19782,0.37222,0.01238,0.33206,0.35985,0.34443,0.37222,0.56497,0.20369,Bad
399.38011,2460.20285,2060.82274,2261.27017,2660.65028,2660.65028,1080.59888,1375.1265,0.22309,0.23423,0.01114,0.28447,0.29561,0.29561,0.08344,0.15189,0.14224,0.15453,0.0123,0.11607,0.10377,0.15453,0.07637,0.54535,1.22978,14.22351,15.4533,10.37736,11.60714,15.4533,54.53459,7.63672,0.00755,0.14375,0.1125,0.1362,0.10495,0.14375,0.53613,0.07298,0.12456,0.15861,0.11953,0.15357,0.00504,0.15861,0.08151,0.54716,-16983.10562,-16377.07074,-16902.16668,-16296.13179,-606.03489,16983.10562,-11792.47991,9610.13051,0.21954,0.27138,0.02524,0.1943,0.29662,0.29662,0.08435,0.14553,0.13469,-0.00288,0.108,0.13757,0.10512,0.13757,0.56658,0.0711,Good
958.69303,17408.71173,16450.0187,17727.442,18686.13503,18686.13503,10698.77389,10163.87026,0.32302,0.30845,-0.01457,0.2795,0.26493,0.32302,0.28739,0.17076,0.13975,0.14026,0.00051,0.11295,0.11244,0.14026,0.0738,0.65791,0.05105,13.97522,14.02628,11.24417,11.29523,14.02628,65.79125,7.37969,-0.00722,0.11836,0.14434,0.12558,0.15156,0.15156,0.63179,0.07869,0.1163,0.1981,0.12534,0.20714,-0.00904,0.20714,0.09923,0.70585,452.33646,463.01784,267.53687,278.21826,-10.68139,463.01784,-162.82684,224.02384,0.21595,0.22347,-0.0014,0.21734,0.22207,0.22347,0.28535,0.12687,0.18581,-0.01197,0.19267,0.19778,0.1807,0.19778,0.71368,0.10939,Bad
6846.14333,14657.81847,7811.67515,11544.38667,18390.52999,18390.52999,9077.8509,8206.50749,0.10361,0.1456,0.04199,0.20353,0.24552,0.24552,0.27518,0.11007,0.10177,0.16565,0.06388,-0.05486,-0.11874,0.22051,0.0947,0.69095,6.38837,10.17662,16.56499,-11.8742,-5.48583,22.05082,69.09466,9.4697,0.03237,0.13474,0.0558,0.10237,0.02343,0.13474,0.61708,0.05743,0.00534,0.17862,-0.00993,0.16334,0.01528,0.17862,0.08611,0.72297,65.58262,-0.94876,96.80058,30.2692,66.53138,96.80058,39.37947,40.81416,0.07732,0.18374,0.06868,0.00864,0.25242,0.25242,0.26677,0.10759,0.09549,0.006,0.03163,0.08949,0.03764,0.09549,0.74858,0.04371,Bad
10500,49800,39300,39800,50300,50300,21450,26218.88632,1.11247,1.11676,0.00428,1.11111,1.1154,1.11676,0.41992,0.64313,0.55556,0.5582,0.00265,0.51416,0.51151,0.5582,0.30932,0.72127,0.26462,55.55556,55.82018,51.15117,51.41579,55.82018,72.12685,30.93246,0.00214,0.56846,0.56419,0.56632,0.56205,0.56846,0.70582,0.32636,0.47381,0.56384,0.47132,0.56134,0.0025,0.56384,0.30108,0.73014,76610,76505,48743,48638,105,76610,-36233.5,37903.63102,1.02832,1.11111,0.00529,1.02302,1.1164,1.1164,0.44254,0.61865,0.55556,0,0.56242,0.55556,0.56242,0.56242,0.70788,0.32274,Good
2808.99813,12980.95131,10171.95319,12743.82693,15552.82506,15552.82506,8452.99522,7587.1285,0.14181,0.13134,-0.01046,0.1778,0.16733,0.1778,0.37114,0.09054,0.0889,0.09092,0.00202,-0.04747,-0.04949,0.13838,0.05775,0.71748,0.20169,8.88982,9.09151,-4.94865,-4.74696,13.83848,71.74806,5.77532,-0.00573,0.09204,0.06548,0.09777,0.07121,0.09777,0.68309,0.04842,-0.05233,0.08318,-0.06113,0.07439,0.00879,0.13552,0.05581,0.72591,98.31964,82.45689,116.66952,100.80677,15.86275,116.66952,59.04333,58.32954,0.09563,0.2019,-0.01553,0.11116,0.18637,0.2019,0.24663,0.09375,0.11459,-0.00331,0.07252,0.1179,0.06921,0.1179,0.75972,0.05712,Bad
7900.02415,38296.16546,30396.14131,30985.81534,38885.83949,38885.83949,18438.85476,20259.78993,0.74417,0.73851,-0.00566,0.69059,0.68493,0.74417,0.40066,0.41313,0.3453,0.34738,0.00208,0.34446,0.34237,0.34738,0.19912,0.70899,0.20835,34.52951,34.73786,34.23711,34.44546,34.73786,70.89871,19.9119,-0.0027,0.34859,0.37229,0.35129,0.37499,0.37499,0.698,0.20911,0.31911,0.34523,0.31897,0.34508,0.00015,0.34523,0.19203,0.71612,2442.70017,6931.96173,-5185.91383,-696.65227,-4489.26156,7628.614,-25388.0776,3648.59705,0.68247,0.68875,0.00412,0.67835,0.69287,0.69287,0.42025,0.39586,0.37366,-0.00529,0.39875,0.37895,0.39346,0.39875,0.69236,0.22313,Bad
2139.17347,26811.58881,24672.41534,24061.30188,26200.47536,26811.58881,12543.38083,14713.79753,0.64735,0.66221,0.01486,0.63333,0.6482,0.66221,0.31688,0.37408,0.31667,0.32213,0.00547,0.40955,0.40408,0.40955,0.21267,0.63785,0.54677,31.66667,32.21344,40.40792,40.9547,40.9547,63.78471,21.26672,0.00777,0.3322,0.41181,0.32443,0.40404,0.41181,0.63296,0.21503,0.24327,0.34914,0.23671,0.34257,0.00656,0.34914,0.17458,0.6994,16341.58713,16317.87415,13093.76277,13070.04978,23.71299,16341.58713,-7149.27861,8593.3222,0.55397,0.48634,0.01638,0.5376,0.50272,0.55397,0.25211,0.30111,0.37016,0.0139,0.3706,0.35626,0.3845,0.3845,0.68752,0.21399,Bad
8797.79289,40799.64733,32001.85444,34194.21392,42992.00681,42992.00681,19504.75747,21963.02655,0.80996,0.81296,0.003,0.82616,0.82916,0.82916,0.45296,0.47322,0.41308,0.41695,0.00387,0.36724,0.36337,0.41695,0.22618,0.73748,0.38674,41.30782,41.69455,36.33706,36.72379,41.69455,73.74767,22.61756,0.0015,0.42093,0.40712,0.41943,0.40562,0.42093,0.72473,0.23867,0.35632,0.41629,0.35215,0.41212,0.00417,0.41629,0.22318,0.7406,20315.91689,20228.40167,16356.87322,16269.358,87.51522,20315.91689,-8766.75016,10684.2786,0.71348,0.83973,0.0119,0.70158,0.85163,0.85163,0.42756,0.45193,0.51522,0.00061,0.48356,0.51462,0.48416,0.51522,0.73791,0.2886,Bad
8208.43781,40556.2573,32347.8195,34946.58025,43155.01806,43155.01806,18960.12512,22077.40643,0.899,0.88059,-0.01842,1.02153,1.00312,1.02153,0.3299,0.55142,0.51076,0.50537,-0.00539,0.35587,0.36126,0.51076,0.25752,0.68796,-0.5394,51.07654,50.53714,36.12644,35.58704,51.07654,68.79611,25.7523,-0.00923,0.51642,0.4615,0.52564,0.47072,0.52564,0.65591,0.28587,0.24371,0.51764,0.24802,0.52195,-0.00431,0.52195,0.24771,0.7139,21234.85824,22669.37149,11591.70926,13026.2225,-1434.51324,22669.37149,-8989.47513,10661.13641,0.7155,1.0322,-0.01618,0.73168,1.01602,1.0322,0.37771,0.51926,0.67584,-0.01314,0.57835,0.68899,0.5652,0.68899,0.66494,0.3649,Bad
5816.77141,18841.18519,13024.41378,14600.5782,20417.34961,20417.34961,8935.63763,9962.38671,0.4653,0.48953,0.02423,0.51515,0.53938,0.53938,0.2761,0.29091,0.25758,0.28443,0.02686,0.17064,0.14378,0.28443,0.13251,0.66395,2.68554,25.75758,28.44311,14.37826,17.0638,28.44311,66.395,13.25101,0.01357,0.29096,0.2452,0.27739,0.23163,0.29096,0.63169,0.15211,0.18398,0.28254,0.16782,0.26638,0.01616,0.28254,0.13625,0.66187,193.12289,136.97914,205.41097,149.26722,56.14375,205.41097,66.87317,101.58626,0.30926,0.38752,0.03996,0.26931,0.42747,0.42747,0.20911,0.20749,0.41644,0.00918,0.3868,0.40726,0.39598,0.41644,0.68056,0.23206,Bad
7488.71139,26734.52149,19245.8101,19845.81759,27334.52898,27334.52898,11128.31393,13791.93485,0.81653,0.8549,0.03837,0.85101,0.88938,0.88938,0.23917,0.4929,0.4255,0.44858,0.02308,0.39803,0.37496,0.44858,0.23881,0.62889,2.30751,42.5505,44.85801,37.49565,39.80315,44.85801,62.88857,23.88144,0.01884,0.45072,0.43683,0.43187,0.41798,0.45072,0.61548,0.25095,0.35225,0.45901,0.32321,0.42997,0.02904,0.45901,0.23028,0.6422,316.67146,236.0827,287.09172,206.50296,80.58876,316.67146,26.3183,155.04045,0.54425,0.57335,0.04876,0.49548,0.62211,0.62211,0.22552,0.32479,0.38921,0.02494,0.35312,0.36427,0.37806,0.38921,0.67798,0.21458,Bad
5246.54405,35109.53438,29862.99033,29236.68195,34483.226,35109.53438,13717.87728,18699.98335,0.80418,0.81304,0.00886,0.82364,0.8325,0.8325,0.22659,0.47255,0.41182,0.41923,0.00741,0.38852,0.38111,0.41923,0.2314,0.61929,1.85315,40.06993,41.92308,36.99905,38.8522,41.92308,61.65059,22.82986,0.00443,0.42172,0.42885,0.41729,0.42442,0.42885,0.60625,0.24428,0.30215,0.42489,0.29345,0.41619,0.0087,0.42489,0.21336,0.64111,31444.85344,42064.68332,-9300.70241,1319.12747,-10619.82988,42064.68332,-65812.71686,19620.22906,0.76402,0.82394,-0.00268,0.7667,0.82126,0.82394,0.22796,0.459,0.47662,0.02206,0.47386,0.45456,0.49592,0.49592,0.61092,0.27464,Bad
15813.38659,43081.61174,27268.22515,25834.84253,41648.22912,43081.61174,15944.69167,20923.89629,0.77027,0.95049,0.18022,0.77778,0.95799,0.95799,0.34491,0.50431,0.38889,0.48158,0.09269,0.52923,0.43654,0.52923,0.26843,0.66025,9.26934,38.88889,48.15823,43.65378,52.92312,52.92312,66.0251,26.84321,0.09088,0.48353,0.53007,0.39265,0.43918,0.53007,0.65741,0.26961,0.41254,0.48373,0.32626,0.39745,0.08628,0.48373,0.23824,0.69108,50841.40812,18509.1481,30440.29562,-1891.96441,32332.26002,50841.40812,-28015.25749,21053.9167,0.95798,0.70257,0.18191,0.77607,0.88448,0.95798,0.31388,0.486,0.49344,0.12175,0.36808,0.37168,0.48984,0.49344,0.70582,0.25362,Good
521.17582,9834.19943,9313.02361,9326.29911,9847.47493,9847.47493,4894.38643,5535.25297,0.97512,0.97512,0,1,1,1,0.50622,0.57026,0.5,0.5,0,0.5,0.5,0.5,0.28868,0.75,0,50,50,50,50,50,75,28.86751,0,0.50675,0.51042,0.50675,0.51042,0.51042,0.74571,0.29363,0.48246,0.5,0.48246,0.5,0,0.5,0.2837,0.75439,129.12349,123.91174,127.4068,122.19505,5.21176,129.12349,34.01548,72.58399,0.84835,0.8515,-0.00109,0.84944,0.85041,0.8515,0.46354,0.4907,0.48521,0,0.45641,0.48521,0.45641,0.48521,0.7646,0.27208,Bad
