@relation 'AlgoSelection-TrainSet (1)-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.lazy.IBk -K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-C-1-F0-T0.1-I0-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R57-64-weka.filters.unsupervised.attribute.Remove-R49-56'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
-0.058008,0.94828,0.913396,1.006288,0.971405,0.554854,1.006288,0.393514,-2.621951,31.973684,45.948276,34.595635,48.570227,23.964643,48.570227,73.674998,-0.025048,0.486306,0.460654,0.511354,0.485702,0.280976,0.511354,0.695693,-0.02622,0.319737,0.459483,0.345956,0.485702,0.239646,0.485702,0.73675,-0.025434,0.268961,0.466752,0.294395,0.492186,0.234322,0.492186,0.748904,-20296,22922,-8130,43218,12166,18219.66974,43218,-39990,7200,41000,44600,33800,37400,22869.48476,44600,21000,-0.029022,0.478956,0.476604,0.507977,0.505626,0.284473,0.507977,0.690545,Bad
-0.025165,0.726208,0.815744,0.751373,0.840909,0.453978,0.840909,0.050184,-1.270187,44.560534,40.775268,45.830721,42.045455,25.054076,45.830721,50.440682,0.003414,0.3339,0.331251,0.330486,0.327836,0.191035,0.3339,0.5763,-0.012702,0.445605,0.407753,0.458307,0.420455,0.250541,0.458307,0.504407,0.007666,0.37036,0.435031,0.362694,0.427365,0.231813,0.435031,0.533569,20.383618,137.213339,106.935775,116.829721,86.552157,66.291932,137.213339,12.888258,2802.891215,14818.23738,13316.4566,12015.34616,10513.56538,7426.99648,14818.23738,4440.815979,-0.015246,0.443367,0.409058,0.458613,0.424304,0.250944,0.458613,0.502167,Good
0.000369,0.216736,0.276943,0.216367,0.276573,0.144512,0.276943,0.249584,2.132867,7.418445,15.961538,5.285578,13.828671,7.109308,15.961538,64.391018,-0.00286,0.163987,0.178623,0.166846,0.181482,0.099914,0.181482,0.682812,0.021329,0.074184,0.159615,0.052856,0.138287,0.071093,0.159615,0.64391,-0.009186,0.044584,0.163711,0.05377,0.172897,0.079503,0.172897,0.662898,22.624117,77.076774,39.193618,54.452657,16.569501,32.485373,77.076774,-78.61048,4161.41837,16713.14134,18707.25153,12551.72297,14545.83316,9218.239361,18707.25153,9699.133559,0.006295,0.104845,0.13357,0.09855,0.127275,0.068074,0.13357,0.618413,Bad
0.016921,0.315051,0.294433,0.298131,0.277512,0.171405,0.315051,0.137832,4.139816,6.611905,18.015414,2.472089,13.875598,7.714132,18.015414,60.82363,0.005011,0.134242,0.118391,0.129231,0.11338,0.071804,0.134242,0.604149,0.041398,0.066119,0.180154,0.024721,0.138756,0.077141,0.180154,0.608236,0.006636,0.133237,0.176128,0.1266,0.169491,0.089168,0.176128,0.597127,25.891803,23.197829,46.268904,-2.693974,20.3771,18.938705,46.268904,9.656121,3509.718166,6983.611502,9340.764527,3473.893336,5831.046361,4082.115874,9340.764527,4855.09534,0.017523,0.177579,0.222062,0.160056,0.204539,0.112021,0.222062,0.534834,Bad
0.00103,1.114533,1.115332,1.113503,1.114302,0.643409,1.115332,0.422473,0.053524,52.858012,55.768614,52.804487,55.71509,31.364879,55.768614,71.84182,0.000048,0.616339,0.613148,0.616291,0.6131,0.354911,0.616339,0.692178,0.000535,0.52858,0.557686,0.528045,0.557151,0.313649,0.557686,0.718418,0.000534,0.434996,0.561075,0.434463,0.560541,0.29196,0.561075,0.741042,23.995113,701.8122,611.848928,677.817087,587.853816,374.229959,701.8122,122.481137,2399.510029,46769.84554,46750.58826,44370.33551,44351.07823,26322.58027,46769.84554,21740.96724,0.000515,0.579394,0.564377,0.578879,0.563862,0.330087,0.579394,0.704026,Bad
-0.03581,0.540434,0.610654,0.576245,0.646465,0.344136,0.646465,0.059107,-2.219803,25.777411,30.10343,27.997214,32.323232,16.889268,32.323232,53.051807,-0.012395,0.41435,0.427069,0.426745,0.439464,0.246581,0.439464,0.563305,-0.022198,0.257774,0.301034,0.279972,0.323232,0.168893,0.323232,0.530518,0.006347,0.217382,0.333503,0.211034,0.327155,0.164208,0.333503,0.556695,3.739419,134.213985,119.813819,130.474567,116.074401,72.50688,134.213985,6.32843,1796.405993,12973.36862,13186.31245,11176.96263,11389.90646,7071.739602,13186.31245,5095.749455,-0.022883,0.284343,0.300513,0.307225,0.323395,0.175811,0.323395,0.522338,Bad
-0.00208,0.728515,0.72143,0.730595,0.72351,0.419174,0.730595,0.30541,0.274209,47.734874,36.101912,47.460664,35.827703,24.585745,47.734874,62.371461,0.020159,0.462709,0.466599,0.44255,0.44644,0.262583,0.466599,0.644134,-0.000736,0.477349,0.361019,0.478085,0.361755,0.24684,0.478085,0.624584,-0.000523,0.273572,0.365044,0.274095,0.365567,0.188245,0.365567,0.674688,4299.504849,27184.01413,-15751.56532,22884.50928,-20051.07016,17735.97647,42935.57944,-50785.53707,1272.763238,36286.50242,32712.80898,35013.73918,31440.04575,19612.21505,36286.50242,14493.38287,-0.00105,0.477318,0.377488,0.478367,0.378537,0.250403,0.478367,0.620239,Bad
0.028959,0.345154,0.311256,0.316195,0.282297,0.182042,0.345154,0.139914,6.21272,6.000068,20.327553,-0.212653,14.114833,8.623411,20.327553,62.192468,-0.00134,0.142268,0.122954,0.143607,0.124294,0.077354,0.143607,0.600074,0.062127,0.060001,0.203276,-0.002127,0.141148,0.086234,0.203276,0.621925,0.002334,0.256628,0.252587,0.254294,0.250254,0.146336,0.256628,0.6247,42.988859,66.472401,87.096445,23.483542,44.107587,37.388412,87.096445,22.83431,4590.251972,9396.421141,11750.19171,4806.169168,7159.939738,5222.821585,11750.19171,5349.063556,0.0295,0.220197,0.278441,0.190697,0.248941,0.138026,0.278441,0.494717,Bad
0.013451,0.514584,0.533653,0.501133,0.520202,0.298869,0.533653,0.131867,1.466763,20.313855,27.476864,18.847092,26.010101,13.70167,27.476864,58.344312,0.021791,0.34756,0.360002,0.325769,0.338212,0.19823,0.360002,0.586239,0.014668,0.203139,0.274769,0.188471,0.260101,0.137017,0.274769,0.583443,0.021302,0.186395,0.289162,0.165093,0.26786,0.137954,0.289162,0.589085,58.854261,214.542529,198.960784,155.688268,140.106523,105.352258,214.542529,-26.45374,5969.289234,17217.80125,18782.09872,11248.51202,12812.80948,9027.718714,18782.09872,6885.521787,0.006212,0.258667,0.281036,0.252455,0.274824,0.154297,0.281036,0.561621,Bad
-0.0348,0.285188,0.269396,0.319988,0.304196,0.170854,0.319988,0.062527,-1.186645,20.783052,14.023145,21.969697,15.20979,10.761403,21.969697,51.772103,-0.028037,0.102819,0.070033,0.130857,0.09807,0.060607,0.130857,0.53235,-0.011866,0.207831,0.140231,0.219697,0.152098,0.107614,0.219697,0.517721,0.004579,0.173602,0.167323,0.169023,0.162744,0.097146,0.173602,0.532075,-1228.39671,-1453.61421,-1613.604816,-225.2175,-385.208106,733.165423,1613.604816,-1522.893377,295.844036,2914.808914,2378.13319,2618.964878,2082.289154,1464.071895,2914.808914,883.867659,-0.019814,0.213923,0.162373,0.233737,0.182187,0.116549,0.233737,0.504502,Good
0.011606,0.282934,0.269979,0.271329,0.258373,0.156423,0.282934,0.234112,2.723769,5.408512,15.64243,2.684742,12.91866,6.832455,15.64243,64.96191,0.005413,0.264467,0.237998,0.259055,0.232585,0.14391,0.264467,0.591946,0.027238,0.054085,0.156424,0.026847,0.129187,0.068325,0.156424,0.649619,0.007238,0.093972,0.095744,0.086735,0.088506,0.052765,0.095744,0.655561,7.766094,84.168539,83.890184,76.402445,76.12409,46.381126,84.168539,20.588627,2276.929497,10494.02721,11294.72962,8217.097711,9017.800119,5718.117917,11294.72962,5356.547607,0.010164,0.162738,0.199345,0.152575,0.189181,0.102768,0.199345,0.592452,Bad
0.018849,0.428807,0.438307,0.409958,0.419458,0.245025,0.438307,0.041378,4.273032,18.520772,25.245918,14.247741,20.972887,11.855807,25.245918,54.464058,0.005497,0.287013,0.294092,0.281516,0.288595,0.166204,0.294092,0.551104,0.04273,0.185208,0.252459,0.142477,0.209729,0.118558,0.252459,0.544641,0.010706,0.175793,0.259081,0.165087,0.248375,0.127155,0.259081,0.54619,17.798022,105.833015,109.822647,88.034993,92.024625,57.599927,109.822647,-48.570899,3673.611233,12056.42561,13024.6236,8382.814376,9351.012366,6371.447077,13024.6236,5185.333589,0.018611,0.206905,0.232276,0.188294,0.213665,0.122086,0.232276,0.509465,Bad
-0.002273,0.600875,0.663462,0.603148,0.665734,0.366532,0.665734,0.059484,0.367133,28.916633,33.653846,28.5495,33.286713,18.061027,33.653846,53.496366,-0.002232,0.333835,0.337057,0.336067,0.339289,0.194321,0.339289,0.537865,0.003671,0.289166,0.336538,0.285495,0.332867,0.18061,0.336538,0.534964,0.006493,0.199153,0.34413,0.19266,0.337637,0.165898,0.34413,0.558001,8.446695,95.975574,82.099467,87.528879,73.652772,49.41454,95.975574,10.03808,1551.763118,10784.47226,10786.41596,9232.709139,9234.652842,5813.642825,10786.41596,3871.284887,-0.001236,0.326178,0.336362,0.327414,0.337598,0.191661,0.337598,0.521944,Bad
0.028948,0.069165,0.089554,0.040217,0.060606,0.040154,0.089554,0.130356,6.552904,-3.867086,9.583207,-10.419989,3.030303,6.112842,13.450292,60.901915,0.002658,0.270639,0.258327,0.267981,0.255669,0.152019,0.270639,0.547243,0.065529,-0.038671,0.095832,-0.1042,0.030303,0.061128,0.134503,0.609019,0.019108,-0.015518,0.007785,-0.034625,-0.011323,0.014539,0.034625,0.630714,69.752442,-530.92105,-493.140904,-600.673492,-562.893346,317.413429,600.673492,-414.591176,7194.907754,11161.73544,14940.5741,3966.82769,7745.666345,6387.373487,14940.5741,6734.796709,0.031136,0.053008,0.109061,0.021872,0.077925,0.045977,0.109061,0.515907,Bad
0.005652,0.57462,0.615792,0.568969,0.61014,0.342431,0.615792,0.047545,0.06993,28.371929,30.576923,28.301999,30.506993,17.020726,30.576923,52.360689,0.007107,0.370639,0.354959,0.363532,0.347852,0.20753,0.370639,0.546968,0.000699,0.283719,0.305769,0.28302,0.30507,0.170207,0.305769,0.523607,0.015008,0.197443,0.325571,0.182435,0.310563,0.155819,0.325571,0.553187,30.167511,137.855975,147.967589,107.688464,117.800078,74.935897,147.967589,6.120264,3174.601014,14387.70936,15682.3728,11213.10835,12507.77179,7889.208854,15682.3728,6089.177537,0.000741,0.317023,0.308521,0.316283,0.30778,0.180399,0.317023,0.513557,Bad
-0.002806,0.835138,0.943103,0.837944,0.945909,0.516031,0.945909,0.340154,0.73187,42.034552,47.575304,41.302682,46.843434,25.758118,47.575304,67.035327,0.038694,0.490199,0.52383,0.451505,0.485135,0.282332,0.52383,0.675938,0.002807,0.420346,0.475753,0.417539,0.472946,0.258864,0.475753,0.671481,0.003408,0.345143,0.4769,0.341735,0.473491,0.242368,0.4769,0.69062,-927.620663,37919.05336,13260.43897,38846.67402,14188.05963,18103.79038,38846.67402,-40052.11356,8374.520082,39638.35664,39430.6889,31263.83656,31056.16882,20692.32417,39638.35664,16479.52043,-0.001408,0.437967,0.47221,0.439375,0.473618,0.263524,0.473618,0.664798,Good
-0.157808,0.602984,0.569465,0.760791,0.727273,0.389619,0.760791,0.588532,-7.913669,30.384203,28.449967,38.297872,36.363636,19.553365,38.297872,79.356206,-0.06962,0.309471,0.294016,0.379091,0.363636,0.196478,0.379091,0.796913,-0.079137,0.303842,0.2845,0.382979,0.363636,0.195534,0.382979,0.793562,-0.066876,0.308465,0.292098,0.375341,0.358974,0.194713,0.375341,0.799702,-11795,7610,5465,19405,17260,8688.896171,19405,-11995,-300,10600,10500,10900,10800,6178.996682,10900,6500,-0.0794,0.303752,0.287267,0.383152,0.366667,0.196345,0.383152,0.792695,Bad
-0.018645,1.019674,1.120866,1.038319,1.13951,0.624717,1.13951,0.2827,-0.821678,48.360854,56.153846,49.182532,56.975524,30.575813,56.975524,64.845975,-0.005253,0.571295,0.603159,0.576548,0.608412,0.340807,0.608412,0.685489,-0.008217,0.483609,0.561538,0.491825,0.569755,0.305758,0.569755,0.64846,-0.005388,0.402525,0.568794,0.407913,0.574182,0.290015,0.574182,0.669735,41.42705,464.592966,423.178247,423.165916,381.751197,245.486117,464.592966,99.903523,4611.825997,36000.28165,36238.17266,31388.45565,31626.34666,19612.94623,36238.17266,14837.35092,-0.009427,0.530407,0.564185,0.539834,0.573612,0.319024,0.573612,0.635156,Bad
