@relation AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_tr_vs_tr-x1 numeric
@attribute SF_Entropy_tr_vs_te numeric
@attribute SF_Entropy_tr_vs_te-x1 numeric
@attribute SF_Entropy_tr-x1_vs_te numeric
@attribute SF_Entropy_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_StDev numeric
@attribute SF_Entropy_Range numeric
@attribute SF_Entropy_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Information_tr_vs_tr-x1 numeric
@attribute KB_Information_tr_vs_te numeric
@attribute KB_Information_tr_vs_te-x1 numeric
@attribute KB_Information_tr-x1_vs_te numeric
@attribute KB_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Information_StDev numeric
@attribute KB_Information_Range numeric
@attribute KB_Information_Avg numeric
@attribute KB_Mean_Information_tr_vs_tr-x1 numeric
@attribute KB_Mean_Information_tr_vs_te numeric
@attribute KB_Mean_Information_tr_vs_te-x1 numeric
@attribute KB_Mean_Information_tr-x1_vs_te numeric
@attribute KB_Mean_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Mean_Information_StDev numeric
@attribute KB_Mean_Information_Range numeric
@attribute KB_Mean_Information_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.012435,0.162423,0.112913,0.149988,0.100478,0.078702,0.162423,0.251497,1.116427,5.263158,6.140351,4.14673,5.023923,3.025665,6.140351,63.536683,0.00245,0.160346,0.149265,0.157896,0.146816,0.088791,0.160346,0.686516,0.011164,0.052632,0.061404,0.041467,0.050239,0.030257,0.061404,0.635367,0.021335,0.048985,0.065813,0.02765,0.044478,0.029172,0.065813,0.642818,85.314094,259.639171,313.091718,174.325077,227.777624,146.585149,313.091718,265.273642,15.685906,88.360829,91.908282,72.674923,76.222376,47.962568,91.908282,40.226358,25.275507,106.671137,116.26629,81.39563,90.990782,58.117748,116.26629,66.262435,0.000729,0.12066,0.14154,0.119931,0.140811,0.075961,0.14154,0.181504,2527.550721,10667.11372,11626.62896,8139.563002,9099.078241,5811.774751,11626.62896,6626.243494,0.004996,0.080982,0.060428,0.075986,0.055432,0.040315,0.080982,0.623889,Bad
0.003344,0.229655,0.212785,0.226311,0.209441,0.12695,0.229655,0.178262,2.604895,3.048731,13.076923,0.443836,10.472028,5.755513,13.076923,62.24044,-0.002114,0.202463,0.181739,0.204577,0.183852,0.111843,0.204577,0.584182,0.026049,0.030487,0.130769,0.004438,0.10472,0.057555,0.130769,0.622404,-0.004024,0.041066,0.11743,0.04509,0.121454,0.056353,0.121454,0.630094,151.695678,621.706136,810.587492,470.010458,658.891814,382.677693,810.587492,825.465832,-71.695678,-292.706136,-394.587492,-221.010458,-322.891814,184.8425,394.587492,-511.715832,32.898719,137.364467,150.925034,104.465748,118.026316,75.142576,150.925034,69.82827,0.022278,0.221892,0.296392,0.199613,0.274114,0.146661,0.296392,0.153562,3289.871859,13736.4467,15092.50343,10446.57484,11802.63157,7514.257628,15092.50343,6982.826998,0.00928,0.10691,0.128825,0.09763,0.119545,0.06609,0.128825,0.575264,Bad
0.01511,0.791344,0.825875,0.776234,0.810765,0.462745,0.825875,0.314345,1.557223,32.975709,42.095491,31.418485,40.538267,21.555153,42.095491,67.765971,-0.000541,0.452771,0.45889,0.453312,0.459431,0.263342,0.459431,0.72457,0.015572,0.329757,0.420955,0.314185,0.405383,0.215552,0.420955,0.67766,0.010329,0.204612,0.424887,0.194283,0.414558,0.20013,0.424887,0.708945,40.66356,-42.815235,140.812488,-83.478794,100.148928,78.54536,183.627723,187.320299,69.33644,410.815235,321.187512,341.478794,251.851072,196.809547,410.815235,97.679701,71.210531,316.56174,307.002226,245.351208,235.791695,162.126228,316.56174,134.19559,0.01483,0.649151,0.576802,0.634321,0.561972,0.350919,0.649151,0.281899,7121.053137,31656.17397,30700.22262,24535.12083,23579.16949,16212.62278,31656.17397,13419.559,0.007919,0.420838,0.423498,0.41292,0.41558,0.241477,0.423498,0.64801,Bad
0.047501,0.494748,0.591361,0.447247,0.54386,0.303025,0.591361,0.395677,3.006794,19.088666,30.199777,16.081871,27.192982,14.162704,30.199777,71.511933,0.029914,0.246346,0.293745,0.216432,0.263831,0.149042,0.293745,0.715725,0.030068,0.190887,0.301998,0.160819,0.27193,0.141627,0.301998,0.715119,0.027745,0.206217,0.290255,0.178472,0.26251,0.14005,0.290255,0.714583,-3189.557075,7586.688393,5478.11493,10776.24547,8667.672006,4945.055988,10776.24547,16036.29668,3290.557075,-7238.688393,-5073.11493,-10529.24547,-8363.672006,4782.508046,10529.24547,-15730.79668,80.0636,264.592985,302.543295,184.529385,222.479695,145.183966,302.543295,149.959156,0.046396,0.324867,0.519851,0.27847,0.473455,0.244551,0.519851,0.377913,8006.360004,26459.29853,30254.32947,18452.93853,22247.96946,14518.3966,30254.32947,14995.91561,0.024053,0.249376,0.320706,0.225323,0.296653,0.160593,0.320706,0.691004,Bad
0.028735,0.265043,0.253615,0.236309,0.22488,0.141991,0.265043,0.116767,6.964073,2.711016,18.208092,-4.253057,11.244019,8.02111,18.208092,61.237297,0.005451,0.254809,0.232186,0.249357,0.226735,0.139334,0.254809,0.592454,0.069641,0.02711,0.182081,-0.042531,0.11244,0.080211,0.182081,0.612373,0.005768,0.211204,0.237651,0.205435,0.231882,0.128384,0.237651,0.623995,62.232864,194.38964,223.240778,132.156776,161.007915,106.347722,223.240778,380.95123,38.767136,153.61036,181.759222,114.843224,142.992085,87.82725,181.759222,-75.45123,53.489635,110.638966,138.787992,57.149331,85.298356,61.71065,138.787992,58.071068,0.065673,0.122358,0.301556,0.056685,0.235883,0.129482,0.301556,0.135407,5348.96354,11063.89662,13878.79916,5714.933079,8529.835616,6171.06499,13878.79916,5807.106819,0.032854,0.176599,0.2397,0.143744,0.206845,0.114438,0.2397,0.475722,Bad
-0.027227,0.030094,0.103076,0.057321,0.130303,0.056171,0.130303,0.212954,0.695444,2.326649,7.210595,1.631206,6.515152,3.251289,7.210595,61.470605,0.001214,-0.058517,-0.004455,-0.059731,-0.005669,0.028822,0.059731,0.647348,0.006954,0.023266,0.072106,0.016312,0.065152,0.032513,0.072106,0.614706,-0.017697,0.005141,0.045437,0.022838,0.063135,0.02667,0.063135,0.628126,19.064187,106.806269,100.304385,87.742082,81.240198,54.903635,106.806269,112.723578,-0.064187,-14.806269,-5.304385,-14.742082,-5.240198,6.96683,14.806269,-25.223577,6.531643,22.049238,25.451253,15.517596,18.91961,12.202864,25.451253,17.537586,0.019067,0.031937,0.096205,0.012871,0.077138,0.041719,0.096205,0.186547,653.164253,2204.923849,2545.125255,1551.759596,1891.961002,1220.286393,2545.125255,1753.758552,-0.007724,0.027562,0.073463,0.035287,0.081187,0.036696,0.081187,0.589531,Good
0.00403,0.023543,0.023543,0.019512,0.019512,0.012537,0.023543,0.010764,10.370544,-19.574899,11.346154,-29.945443,0.97561,14.356337,30.921053,60.810704,0,0.009756,0.009756,0.009756,0.009756,0.005633,0.009756,0.504878,0.103705,-0.195749,0.113462,-0.299454,0.009756,0.143563,0.309211,0.608107,0.011569,0.10921,0.514032,0.097641,0.502463,0.241898,0.514032,0.605329,0,184728,184728,184728,184728,106652.7605,184728,123510,110,-184360,-184266,-184470,-184376,106444.9308,184470,-123225,110,24,118,-86,8,59.788516,118,55,0.207411,-0.391498,0.226923,-0.598909,0.019512,0.287127,0.618421,0.216214,11000,2400,11800,-8600,800,5978.851618,11800,5500,0.043546,-0.049073,0.064867,-0.092618,0.021321,0.050437,0.113939,0.383365,Bad
-0.003179,-0.084933,-0.071361,-0.081754,-0.068182,0.044565,0.084933,0.286689,2.248201,-3.336905,-1.160889,-5.585106,-3.409091,2.328937,5.585106,65.3106,-0.014328,-0.058899,-0.043197,-0.044571,-0.028868,0.026781,0.058899,0.688389,0.022482,-0.033369,-0.011609,-0.055851,-0.034091,0.023289,0.055851,0.653106,-0.008995,-0.152787,-0.149552,-0.143792,-0.140557,0.084771,0.152787,0.725579,15.279759,84.627617,85.94113,69.347857,70.661371,45.263177,85.94113,80.452905,3.720241,7.372383,9.05887,3.652143,5.338629,4.030495,9.05887,7.047095,4.142542,11.237207,12.923694,7.094666,8.781152,6.060421,12.923694,11.206992,0.013695,-0.018376,0.009732,-0.032071,-0.003963,0.014301,0.032071,0.130268,414.254165,1123.720729,1292.369377,709.466564,878.115212,606.042139,1292.369377,1120.699248,0.00706,-0.013931,-0.002197,-0.020991,-0.009257,0.008722,0.020991,0.614331,Good
0.011141,-0.080024,-0.133994,-0.091165,-0.145136,0.068781,0.145136,0.21497,-0.430069,-4.178075,-7.686847,-3.748006,-7.256778,3.602647,7.686847,60.299181,0.01082,-0.052976,-0.061748,-0.063796,-0.072568,0.036685,0.072568,0.613351,-0.004301,-0.041781,-0.076868,-0.03748,-0.072568,0.036026,0.076868,0.602992,0.027242,-0.077243,-0.045845,-0.104485,-0.073087,0.046597,0.104485,0.630235,48330,167544,195468,119214,147138,93655.32485,195468,135592.5,-48229,-167196,-195063,-118967,-146834,93461.2456,195063,-135287,11,36,41,25,30,19.680786,41,53,-0.008601,-0.083562,-0.153737,-0.07496,-0.145136,0.072053,0.153737,0.205984,1100,3600,4100,2500,3000,1968.078589,4100,5300,-0.001531,-0.035244,-0.075706,-0.033713,-0.074175,0.035651,0.075706,0.5998,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,0,33294,33294,33294,33294,19222.29986,33294,30609,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,25,18,25,-7,0,11.803954,25,8,0.221239,0.009118,0.221239,-0.212121,0,0.125156,0.221239,0.10834,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
