@relation AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_tr_vs_tr-x1 numeric
@attribute SF_Entropy_tr_vs_te numeric
@attribute SF_Entropy_tr_vs_te-x1 numeric
@attribute SF_Entropy_tr-x1_vs_te numeric
@attribute SF_Entropy_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_StDev numeric
@attribute SF_Entropy_Range numeric
@attribute SF_Entropy_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Information_tr_vs_tr-x1 numeric
@attribute KB_Information_tr_vs_te numeric
@attribute KB_Information_tr_vs_te-x1 numeric
@attribute KB_Information_tr-x1_vs_te numeric
@attribute KB_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Information_StDev numeric
@attribute KB_Information_Range numeric
@attribute KB_Information_Avg numeric
@attribute KB_Mean_Information_tr_vs_tr-x1 numeric
@attribute KB_Mean_Information_tr_vs_te numeric
@attribute KB_Mean_Information_tr_vs_te-x1 numeric
@attribute KB_Mean_Information_tr-x1_vs_te numeric
@attribute KB_Mean_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Mean_Information_StDev numeric
@attribute KB_Mean_Information_Range numeric
@attribute KB_Mean_Information_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.020617,0.273981,0.259642,0.253364,0.239024,0.148446,0.273981,0.121082,3.04878,44.605263,15,41.556483,11.95122,20.351431,44.605263,49.336489,0.006738,0.404643,0.389615,0.397905,0.382877,0.227437,0.404643,0.485442,0.030488,0.446053,0.15,0.415565,0.119512,0.203514,0.446053,0.493365,0.022917,0.071925,0.146682,0.049008,0.123765,0.064886,0.146682,0.586301,95.836923,265.551174,412.384822,169.714251,316.547898,182.649255,412.384822,283.799056,14.163077,102.448826,49.615178,88.285749,35.452102,45.644131,102.448826,1.200944,18.524192,103.294297,67.127604,84.770105,48.603411,46.882179,103.294297,17.962595,0.011542,0.376009,0.158633,0.364467,0.147091,0.175215,0.376009,-0.011163,1852.419247,10329.42972,6712.760387,8477.010473,4860.34114,4688.217919,10329.42972,1796.259488,0.013397,0.444319,0.243705,0.430922,0.230308,0.211339,0.444319,0.454257,Bad
-0.035748,1.058002,0.887328,1.09375,0.923077,0.576302,1.09375,0.486856,-1.785714,51.785714,44.368132,53.571429,46.153846,28.443769,53.571429,74.622253,-0.016949,0.529205,0.444589,0.546154,0.461538,0.288165,0.546154,0.74384,-0.017857,0.517857,0.443681,0.535714,0.461538,0.284438,0.535714,0.746223,-0.017208,0.529221,0.43392,0.546429,0.451128,0.28575,0.546429,0.746309,2148,-13962,-10740,-16110,-12888,7910.503966,16110,7786.5,-2142,14046,10826,16188,12968,7956.492757,16188,-7718.5,2,110,106,108,104,61.803452,110,53.5,-0.035714,1.035714,0.887363,1.071429,0.923077,0.568875,1.071429,0.492445,200,11000,10600,10800,10400,6180.34519,11000,5350,-0.01788,0.53548,0.46962,0.55336,0.4875,0.29662,0.55336,0.735315,Bad
0.024706,0.354017,0.353254,0.329311,0.328549,0.197298,0.354017,0.257979,4.138433,7.700368,20.565866,3.561935,16.427432,8.885597,20.565866,66.850664,-0.000413,0.364037,0.339414,0.36445,0.339827,0.203437,0.36445,0.627644,0.041384,0.077004,0.205659,0.035619,0.164274,0.088856,0.205659,0.668507,0.002738,0.131344,0.115734,0.128606,0.112996,0.070831,0.131344,0.704073,42.643974,215.884315,248.493567,173.240341,205.849593,123.700995,248.493567,266.506196,58.356026,132.115685,156.506433,73.759659,98.150407,71.311022,156.506433,38.993804,58.550061,148.700844,173.483543,90.150783,114.933482,80.409183,173.483543,78.438688,0.05924,0.188793,0.333315,0.129553,0.274075,0.148054,0.333315,0.189195,5855.006067,14870.08437,17348.3543,9015.078303,11493.34823,8040.918346,17348.3543,7843.868789,0.01934,0.214164,0.265656,0.194823,0.246315,0.134812,0.265656,0.586432,Bad
0.032298,0.336267,0.305025,0.303968,0.272727,0.176756,0.336267,0.189259,5.408358,7.348815,19.044722,1.940457,13.636364,8.023231,19.044722,63.725827,0.006086,0.371329,0.340704,0.365243,0.334618,0.204188,0.371329,0.586074,0.054084,0.073488,0.190447,0.019405,0.136364,0.080232,0.190447,0.637258,0.009249,0.166816,0.148651,0.157567,0.139402,0.088788,0.166816,0.657948,54.324385,230.95713,266.497532,176.632745,212.173147,130.637208,266.497532,281.292339,46.675615,117.04287,138.502468,70.367255,91.826853,63.83887,138.502468,24.207661,50.900823,127.664105,150.718902,76.763282,99.818079,69.517971,150.718902,65.076857,0.053149,0.168602,0.313136,0.115452,0.259986,0.13878,0.313136,0.150282,5090.082313,12766.41052,15071.89021,7676.32821,9981.807894,6951.797071,15071.89021,6507.685663,0.026481,0.193756,0.238323,0.167275,0.211842,0.118983,0.238323,0.547925,Bad
0.031626,0.535736,0.486018,0.50411,0.454392,0.286836,0.535736,0.330781,1.32164,37.488598,24.041235,36.166958,22.719595,18.235001,37.488598,63.733772,0.020971,0.267147,0.263867,0.246176,0.242896,0.147491,0.267147,0.667142,0.013216,0.374886,0.240412,0.36167,0.227196,0.18235,0.374886,0.637338,0.026837,0.151928,0.252764,0.125091,0.225928,0.117101,0.252764,0.718295,-1074,19337.67807,73039.28771,20411.67807,74113.28771,34764.82383,74113.28771,85657.15591,1100,-18974.67807,-72607.28771,-20074.67807,-73707.28771,34575.13608,73707.28771,-85356.40591,28,323.253497,290.643856,295.253497,262.643856,170.041781,323.253497,136.559878,0.026536,0.770376,0.500668,0.74384,0.474132,0.375909,0.770376,0.262629,2800,32325.34967,29064.38562,29525.34967,26264.38562,17004.17805,32325.34967,13655.98775,0.014545,0.372859,0.269859,0.358314,0.255314,0.186244,0.372859,0.628124,Bad
0.011187,0.7923,0.826831,0.781112,0.815643,0.46441,0.826831,0.315803,1.313321,32.975709,42.095491,31.662388,40.78217,21.621777,42.095491,67.826947,-0.000535,0.468397,0.460971,0.468932,0.461506,0.268457,0.468932,0.720142,0.013133,0.329757,0.420955,0.316624,0.407822,0.216218,0.420955,0.678269,0.008832,0.204415,0.42469,0.195584,0.415859,0.200403,0.42469,0.709221,33.008394,-11436.34403,-2361.938156,-11469.35243,-2394.94655,5446.684483,11469.35243,3630.071758,76.991606,11804.34403,2823.938156,11727.35243,2746.94655,5575.596324,11804.34403,-3345.071758,78.281121,347.174045,335.968489,268.892923,257.687367,177.567904,347.174045,147.686124,0.016518,0.71016,0.61433,0.693642,0.597812,0.37966,0.71016,0.314829,7828.112139,34717.40445,33596.84886,26889.29231,25768.73672,17756.79035,34717.40445,14768.61242,0.005894,0.421378,0.424038,0.415483,0.418143,0.242363,0.424038,0.648786,Bad
0.021069,0.123004,0.102409,0.101935,0.08134,0.060203,0.123004,0.409209,2.849149,4.576953,6.916134,1.727804,4.066986,2.913997,6.916134,71.751628,-0.000448,0.058248,0.056401,0.058696,0.056849,0.033235,0.058696,0.736838,0.028491,0.04577,0.069161,0.017278,0.04067,0.02914,0.069161,0.717516,0.011467,0.041553,0.059049,0.030085,0.047582,0.027111,0.059049,0.723786,81.174527,212.002731,270.054784,130.828204,188.880257,122.687224,270.054784,263.733135,19.825473,135.997269,134.945217,116.171796,115.119743,72.942938,135.997269,41.766865,32.158158,130.743969,139.493222,98.585811,107.335064,70.061294,139.493222,84.069319,0.002598,0.138498,0.130673,0.135901,0.128075,0.077027,0.138498,0.239704,3215.815824,13074.3969,13949.32222,9858.581076,10733.5064,7006.129405,13949.32222,8406.931851,0.013333,0.059855,0.053046,0.046522,0.039713,0.029385,0.059855,0.70216,Bad
0.017061,0.524617,0.588007,0.507556,0.570946,0.317395,0.588007,0.35964,0.76581,29.568258,29.313108,28.802448,28.547297,16.779752,29.568258,67.104016,0.021748,0.234201,0.265938,0.212453,0.24419,0.13899,0.265938,0.759644,0.007658,0.295683,0.293131,0.288024,0.285473,0.167798,0.295683,0.67104,0.015388,0.142019,0.297598,0.126631,0.28221,0.138098,0.297598,0.71468,-4.194573,-3072.287517,-3000.663732,-3068.092944,-2996.469159,1752.143989,3072.287517,1816.128802,30.194573,3435.287517,3432.663732,3405.092944,3402.469159,1973.929109,3435.287517,-1515.378802,20.329363,238.936917,252.603231,218.607554,232.273868,136.393947,252.603231,132.4267,0.014478,0.364563,0.409331,0.350085,0.394853,0.220064,0.409331,0.31752,2032.936289,23893.69172,25260.32306,21860.75543,23227.38677,13639.39472,25260.32306,13242.66998,0.007654,0.308226,0.308108,0.300571,0.300453,0.175738,0.308226,0.664076,Bad
0.002034,0.799405,0.849003,0.797372,0.84697,0.475699,0.849003,0.572756,0.113909,39.706107,42.462394,39.592199,42.348485,23.713878,42.462394,78.709973,0,0.378124,0.364153,0.378124,0.364153,0.214353,0.378124,0.814431,0.001139,0.397061,0.424624,0.395922,0.423485,0.237139,0.424624,0.7871,0.00112,0.398114,0.42345,0.396994,0.42233,0.237068,0.42345,0.787253,0.000463,-6509.911139,-5692.269824,-6509.911603,-5692.270287,3538.24705,6509.911603,3055.494551,18.999537,6601.911139,5787.269824,6582.911603,5768.270287,3586.425698,6601.911139,-2967.994551,18.999553,128.015579,130.992987,109.016026,111.993434,69.728056,130.992987,67.538524,0.002228,0.793883,0.848459,0.791654,0.84623,0.473985,0.848459,0.574761,1899.955297,12801.55792,13099.29868,10901.60263,11199.34338,6972.805646,13099.29868,6753.852431,0.001017,0.399888,0.426518,0.398871,0.425501,0.238518,0.426518,0.785827,Bad
0.006508,0.944934,0.915599,0.938427,0.909091,0.535352,0.944934,0.396207,0.625974,44.910929,46.080519,44.284955,45.454545,26.091886,46.080519,70.544585,0.000817,0.57044,0.550818,0.569623,0.550001,0.323543,0.57044,0.707203,0.00626,0.449109,0.460805,0.44285,0.454545,0.260919,0.460805,0.705446,0.004864,0.416851,0.462047,0.411987,0.457182,0.252993,0.462047,0.71357,15.06527,-667.110552,-530.688464,-682.175822,-545.753734,354.579055,682.175822,407.276402,85.93473,1015.110552,935.688464,929.175822,849.753734,540.455371,1015.110552,-101.776402,86.553687,412.926367,417.946116,326.37268,331.392429,217.762093,417.946116,182.998519,0.015089,0.797859,0.843563,0.78277,0.828473,0.469893,0.843563,0.380391,8655.368697,41292.63672,41794.61157,32637.26802,33139.24287,21776.20925,41794.61157,18299.85191,0.003296,0.477475,0.463679,0.474179,0.460383,0.270798,0.477475,0.695354,Bad
0.003634,0.296185,0.283004,0.292551,0.279371,0.166242,0.296185,0.098837,0.06993,22.848369,14.038462,22.778439,13.968531,11.220231,22.848369,52.876194,0.005152,0.163237,0.144837,0.158086,0.139685,0.087794,0.163237,0.5473,0.000699,0.228484,0.140385,0.227784,0.139685,0.112202,0.228484,0.528762,0.013859,0.070096,0.155609,0.056237,0.141751,0.070645,0.155609,0.574985,62.386997,280.354178,384.192672,217.967181,321.805674,180.726688,384.192672,326.703015,17.613003,48.645822,31.807328,31.032819,14.194326,20.688946,48.645822,-12.953015,22.13317,88.733475,81.23666,66.600304,59.10349,43.730164,88.733475,31.061616,0.02265,0.202594,0.172757,0.179944,0.150107,0.102958,0.202594,0.052591,2213.317013,8873.347459,8123.666031,6660.030446,5910.349018,4373.016411,8873.347459,3106.161622,-0.000583,0.228781,0.148243,0.229364,0.148826,0.113857,0.229364,0.52532,Good
-0.025365,0.985543,1.085824,1.010908,1.111189,0.606746,1.111189,0.285862,-1.136364,44.450262,54.423077,45.586625,55.559441,29.159671,55.559441,65.565756,-0.003563,0.534314,0.570797,0.537877,0.57436,0.320396,0.57436,0.699071,-0.011364,0.444503,0.544231,0.455866,0.555594,0.291597,0.555594,0.655658,-0.008572,0.38105,0.553991,0.389622,0.562563,0.281421,0.562563,0.671387,34.569313,-153.081044,-27.756061,-187.650357,-62.325374,81.753034,187.650357,218.958095,45.430687,482.081044,443.756061,436.650357,398.325374,255.307162,482.081044,94.791905,48.488345,347.882877,362.028432,299.394531,313.540087,192.046602,362.028432,156.441045,-0.010793,0.675107,0.819189,0.685899,0.829982,0.438467,0.829982,0.294588,4848.834512,34788.28766,36202.84321,29939.45314,31354.0087,19204.66023,36202.84321,15644.10452,-0.012794,0.504907,0.550077,0.517701,0.562872,0.308836,0.562872,0.63801,Good
0.036087,0.367794,0.367794,0.331707,0.331707,0.202465,0.367794,0.174875,4.376173,-9.959514,20.961538,-14.335687,16.585366,12.891944,30.921053,67.116989,0.012431,0.183426,0.230152,0.170995,0.217721,0.117471,0.230152,0.612948,0.043762,-0.099595,0.209615,-0.143357,0.165854,0.128919,0.309211,0.67117,0.023675,0.049686,0.454507,0.026011,0.430832,0.215982,0.454507,0.57254,80.878353,318.811694,375.299676,237.933341,294.421323,181.548693,375.299676,243.727212,29.121647,49.188306,86.700324,20.066659,57.578677,36.411573,86.700324,41.272788,33.232943,74.49006,112.002077,41.257117,78.769135,48.743838,112.002077,57.226387,0.023188,-0.032125,0.213005,-0.055314,0.189817,0.110348,0.245131,0.164671,3323.294264,7449.005969,11200.20772,4125.711705,7876.913455,4874.383763,11200.20772,5722.638665,0.022511,0.234026,0.347966,0.211515,0.325455,0.168324,0.347966,0.530173,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,0,33294,33294,33294,33294,19222.29986,33294,30609,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,25,18,25,-7,0,11.803954,25,8,0.221239,0.009118,0.221239,-0.212121,0,0.125156,0.221239,0.10834,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
-0.004279,0.32255,0.32255,0.326829,0.326829,0.187468,0.326829,0.162345,-0.572233,46.690283,15.769231,47.262516,16.341463,22.147007,47.262516,50.29741,0.005086,0.47642,0.482931,0.471334,0.477845,0.275493,0.482931,0.479634,-0.005722,0.466903,0.157692,0.472625,0.163415,0.22147,0.472625,0.502974,0.02097,0.651091,0.437492,0.630121,0.416521,0.320407,0.651091,0.410103,118.458038,147.374472,408.06876,28.916434,289.610722,171.984422,408.06876,330.255799,-8.458038,220.625528,53.93124,229.083566,62.389278,106.385474,229.083566,-45.255799,12.814285,176.826995,105.024674,164.01271,92.210389,83.176856,176.826995,29.603433,-0.022028,0.682524,0.22885,0.704552,0.250878,0.327089,0.704552,-0.023741,1281.428472,17682.69945,10502.46735,16401.27097,9221.038875,8317.685573,17682.69945,2960.34325,-0.006393,0.495224,0.322111,0.501616,0.328504,0.248083,0.501616,0.452709,Bad
-0.001543,0.422794,0.377286,0.424337,0.378829,0.232154,0.424337,0.01549,1.222003,4.712679,20.163444,3.490676,18.941441,9.309298,20.163444,55.530805,-0.001345,0.141713,0.078597,0.143058,0.079942,0.068982,0.143058,0.615528,0.01222,0.047127,0.201634,0.034907,0.189414,0.093093,0.201634,0.555308,-0.010919,0.139099,0.346676,0.150018,0.357595,0.166613,0.357595,0.554525,17.848092,333.876851,395.063579,316.028759,377.215487,206.917265,395.063579,288.83687,8.151908,29.123149,36.936421,20.971241,28.784513,17.340461,36.936421,11.91313,9.15668,58.19543,69.504833,49.03875,60.348153,34.732401,69.504833,33.950876,0.011779,0.064996,0.152818,0.053216,0.141039,0.069614,0.152818,0.077315,915.668031,5819.543031,6950.483326,4903.875001,6034.815295,3473.240071,6950.483326,3395.087624,0.004937,0.175568,0.238647,0.170631,0.23371,0.120939,0.238647,0.46354,Bad
0.032763,0.696573,0.692645,0.66381,0.659882,0.391806,0.696573,0.199219,3.902439,8.289474,36.896552,4.387035,32.994113,16.761867,36.896552,67.727884,0.004128,0.339067,0.352934,0.334939,0.348806,0.19866,0.352934,0.622422,0.039024,0.082895,0.368966,0.04387,0.329941,0.167619,0.368966,0.677279,0.010908,0.174309,0.581987,0.163401,0.571079,0.272067,0.581987,0.621667,7504.360747,45158.86756,51609.19702,37654.50681,44104.83627,26082.96568,51609.19702,58838.59041,-7394.360747,-44790.86756,-51147.19702,-37396.50681,-43752.83627,25868.4919,51147.19702,-58553.59041,93.369004,234.977584,310.664112,141.60858,217.295108,139.476112,310.664112,143.593138,0.071219,0.133566,0.709535,0.062348,0.638316,0.325247,0.709535,0.354777,9336.900387,23497.75838,31066.41115,14160.85799,21729.51077,13947.61121,31066.41115,14359.31384,0.020303,0.355149,0.471568,0.334846,0.451266,0.237739,0.471568,0.561018,Bad
0.010896,0.030626,0.05029,0.01973,0.039394,0.022199,0.05029,0.25461,2.853717,2.357263,4.823414,-0.496454,1.969697,1.982712,4.823414,63.678452,-0.007386,0.016252,0.017311,0.023638,0.024696,0.012207,0.024696,0.632667,0.028537,0.023573,0.048234,-0.004965,0.019697,0.019827,0.048234,0.636785,0.000825,-0.021031,-0.00962,-0.021856,-0.010444,0.010217,0.021856,0.67244,1543.383489,15042.55562,14627.20136,13499.17213,13083.81787,8145.561109,15042.55562,13539.36617,-1524.383489,-14950.55562,-14532.20136,-13426.17213,-13007.81787,8096.646317,14950.55562,-13451.86617,12.047893,31.386917,33.020524,19.339024,20.972631,15.90902,33.020524,24.939356,0.050219,0.047434,0.066187,-0.002784,0.015968,0.028529,0.066187,0.275969,1204.789279,3138.691715,3302.0524,1933.902436,2097.263121,1590.902021,3302.0524,2493.935565,0.012625,0.037012,0.051214,0.024387,0.038589,0.023162,0.051214,0.602685,Good
0,0,0,0,0,0,0,0,10.479042,-9.17613,10.479042,-19.655172,0,9.471332,19.655172,57.533554,0,0,0,0,0,0,0,0.5,0.10479,-0.091761,0.10479,-0.196552,0,0.094713,0.196552,0.575336,0.115771,-0.119413,0.115771,-0.235184,0,0.112431,0.235184,0.337739,0,165396,165396,165396,165396,95491.42512,165396,129954,105,-165040,-164983,-165145,-165088,95299.75732,165145,-129671.5,105,48,105,-57,0,50.705029,105,40.5,0.209581,-0.183523,0.209581,-0.393103,0,0.189427,0.393103,0.150671,10500,4800,10500,-5700,0,5070.502934,10500,4050,0.043532,-0.033703,0.043532,-0.077236,0,0.03748,0.077236,0.363525,Bad
0.020109,0.176181,0.171053,0.156072,0.150943,0.094812,0.176181,0.079217,2.274259,9.821429,9.821429,7.54717,7.54717,5.099123,9.821429,54.34215,0.007108,0.074998,0.096102,0.06789,0.088994,0.048206,0.096102,0.527882,0.022743,0.098214,0.098214,0.075472,0.075472,0.050991,0.098214,0.543421,0.013049,0.120772,0.120772,0.107724,0.107724,0.066176,0.120772,0.557124,4.569994,80.894727,82.685191,76.324734,78.115197,45.945926,82.685191,67.208679,1.430006,3.105273,3.314809,1.675266,1.884803,1.556666,3.314809,0.791321,1.430006,4.931954,5.146182,3.501948,3.716176,2.565342,5.146182,2.198276,0.010926,0.040195,0.048041,0.02927,0.037115,0.022983,0.048041,0.020525,143.000609,493.195418,514.618204,350.19481,371.617595,256.534236,514.618204,219.827582,0.013605,0.057295,0.055472,0.04369,0.041866,0.029169,0.057295,0.523138,Bad
-0.002928,-0.033458,-0.008989,-0.03053,-0.006061,0.01521,0.033458,0.275082,2.134293,-0.489821,1.831262,-2.624113,-0.30303,1.307475,2.624113,64.598692,-0.001167,-0.015763,-0.00721,-0.014596,-0.006042,0.007214,0.015763,0.63209,0.021343,-0.004898,0.018313,-0.026241,-0.00303,0.013075,0.026241,0.645987,-0.008781,-0.030033,-0.016498,-0.021252,-0.007716,0.012733,0.030033,0.669205,4295.999906,34367.7362,34367.73637,30071.73629,30071.73646,18684.56776,34367.73637,33294.13188,-4276.999906,-34275.7362,-34272.73637,-29998.73629,-29995.73646,18635.55668,34275.7362,-33206.63188,11.000094,28.263801,31.263634,17.263706,20.26354,14.761732,31.263634,25.368118,0.042687,-0.004184,0.042617,-0.04687,-0.00007,0.025889,0.04687,0.289073,1100.009421,2826.380062,3126.363414,1726.370641,2026.353993,1476.173242,3126.363414,2536.811776,0.006496,-0.009604,0.005211,-0.0161,-0.001285,0.007314,0.0161,0.621243,Good
0.00492,0.205102,0.157285,0.200182,0.152365,0.105041,0.205102,0.200593,0.842391,13.46914,8.460635,12.626748,7.618243,6.430832,13.46914,59.52435,-0.000832,0.193176,0.154764,0.194008,0.155597,0.101896,0.194008,0.64286,0.008424,0.134691,0.084606,0.126267,0.076182,0.064308,0.134691,0.595244,0.000379,-0.006236,0.090294,-0.006616,0.089915,0.046223,0.096531,0.638577,18.362063,267.925297,365.581047,249.563234,347.218984,182.151518,365.581047,286.095657,7.637937,95.074703,66.418953,87.436766,58.781016,46.034917,95.074703,14.654343,9.748333,113.104119,106.120154,103.355786,96.371821,60.668348,113.104119,56.324724,0.008152,0.221199,0.123798,0.213048,0.115646,0.105108,0.221199,0.136155,974.833298,11310.41194,10612.01543,10335.57864,9637.182132,6066.834793,11310.41194,5632.472442,0.004352,0.1382,0.074481,0.133849,0.070129,0.065549,0.1382,0.584928,Bad
0.101291,0.642973,0.636606,0.541682,0.535315,0.342657,0.642973,0.310619,5.34965,30.197342,32.115385,24.847692,26.765734,16.606694,32.115385,66.161329,0.084353,0.314951,0.329498,0.230599,0.245146,0.165419,0.329498,0.706284,0.053497,0.301973,0.321154,0.248477,0.267657,0.166067,0.321154,0.661613,0.054598,0.223038,0.322993,0.168441,0.268395,0.14929,0.322993,0.682541,-13947.60172,-19210.57316,-8403.478364,-5262.97144,5544.123357,8212.945238,19210.57316,10683.94865,14027.60172,19539.57316,8819.478364,5511.97144,-5208.123357,8310.528155,19539.57316,-10370.19865,81.941958,260.260528,271.512793,178.31857,189.570835,134.173535,271.512793,119.735728,0.09072,0.457756,0.509434,0.367036,0.418715,0.25658,0.509434,0.260839,8194.195828,26026.05278,27151.27928,17831.85695,18957.08345,13417.35352,27151.27928,11973.57275,0.050718,0.338338,0.319346,0.28762,0.268628,0.176605,0.338338,0.650724,Bad
0.018628,0.210741,-0.028302,0.192112,-0.04693,0.108708,0.239042,0.231776,3.560038,30.546559,1.213528,26.986521,-2.34651,14.552903,30.546559,57.900738,0.006115,-0.002427,-0.109148,-0.008542,-0.115262,0.055305,0.115262,0.721022,0.0356,0.305466,0.012135,0.269865,-0.023465,0.145529,0.305466,0.579007,0.017246,-0.137498,-0.063088,-0.154744,-0.080334,0.07019,0.154744,0.705824,57.889388,303.661802,398.210406,245.772414,340.321018,191.331979,398.210406,262.99849,52.110612,64.338199,63.789594,12.227586,11.678982,30.564475,64.338199,22.00151,52.194026,102.380913,102.14659,50.186887,49.952564,48.865488,102.380913,41.578458,0.072736,0.181159,0.141102,0.108423,0.068366,0.07961,0.181159,0.104633,5219.402631,10238.09128,10214.659,5018.68865,4995.256367,4886.548768,10238.09128,4157.845777,0.014809,0.277444,0.012489,0.262634,-0.002321,0.13433,0.277444,0.563073,Bad
-0.019298,0.131646,0.131646,0.150943,0.150943,0.081956,0.150943,0.070647,-1.29717,2.678571,6.25,3.975741,7.54717,3.334682,7.54717,54.34215,-0.00219,0.078515,0.072993,0.080706,0.075183,0.044435,0.080706,0.538622,-0.012972,0.026786,0.0625,0.039757,0.075472,0.033347,0.075472,0.543421,-0.00715,0.282672,0.319661,0.289822,0.326812,0.176614,0.326812,0.420866,15.772881,442.434418,442.435394,426.661537,426.662513,250.969295,442.435394,365.690083,-9.772881,-358.434418,-356.435394,-348.661537,-346.662513,203.584686,358.434418,-297.690083,-0.871041,11.030927,13.029951,11.901968,13.900992,7.25207,13.900992,7.035484,-0.014703,0.050222,0.122157,0.064925,0.13686,0.061767,0.13686,0.075161,-87.104129,1103.092698,1302.995088,1190.196826,1390.099217,725.206988,1390.099217,703.548369,-0.011986,0.212789,0.228293,0.224775,0.240279,0.131034,0.240279,0.454352,Bad
-0.01096,-0.033458,-0.008989,-0.022497,0.001972,0.014228,0.033458,0.27709,2.134293,-0.489821,1.831262,-2.624113,-0.30303,1.307475,2.624113,64.598692,-0.006069,-0.015763,-0.00721,-0.009694,-0.00114,0.006492,0.015763,0.633315,0.016021,-0.004898,0.018313,-0.020919,0.002292,0.011538,0.023211,0.647317,-0.011701,-0.030033,-0.016498,-0.018332,-0.004796,0.012428,0.030033,0.669935,5369.999913,34367.70176,34367.70194,28997.70184,28997.70203,18422.92095,34367.70194,33025.6491,-5349.999913,-34275.70176,-34272.70194,-28925.70184,-28922.70203,18374.08333,34275.70176,-32938.3991,10.000087,28.298244,31.298058,18.298157,21.297971,14.938166,31.298058,25.600903,0.032042,-0.003451,0.043399,-0.035493,0.011357,0.023284,0.04685,0.291355,1000.008709,2829.824407,3129.805801,1829.815698,2129.797092,1493.816642,3129.805801,2560.090271,0.001227,-0.009604,0.005211,-0.010831,0.003984,0.006282,0.014815,0.62256,Good
