@relation 'AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R41-48,57-63-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R49-56'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.01511,0.791344,0.825875,0.776234,0.810765,0.462745,0.825875,0.314345,1.557223,32.975709,42.095491,31.418485,40.538267,21.555153,42.095491,67.765971,-0.000541,0.452771,0.45889,0.453312,0.459431,0.263342,0.459431,0.72457,0.015572,0.329757,0.420955,0.314185,0.405383,0.215552,0.420955,0.67766,0.010329,0.204612,0.424887,0.194283,0.414558,0.20013,0.424887,0.708945,69.33644,410.815235,321.187512,341.478794,251.851072,196.809547,410.815235,97.679701,7121.053137,31656.17397,30700.22262,24535.12083,23579.16949,16212.62278,31656.17397,13419.559,0.007919,0.420838,0.423498,0.41292,0.41558,0.241477,0.423498,0.64801,Bad
0.047501,0.494748,0.591361,0.447247,0.54386,0.303025,0.591361,0.395677,3.006794,19.088666,30.199777,16.081871,27.192982,14.162704,30.199777,71.511933,0.029914,0.246346,0.293745,0.216432,0.263831,0.149042,0.293745,0.715725,0.030068,0.190887,0.301998,0.160819,0.27193,0.141627,0.301998,0.715119,0.027745,0.206217,0.290255,0.178472,0.26251,0.14005,0.290255,0.714583,3290.557075,-7238.688393,-5073.11493,-10529.24547,-8363.672006,4782.508046,10529.24547,-15730.79668,8006.360004,26459.29853,30254.32947,18452.93853,22247.96946,14518.3966,30254.32947,14995.91561,0.024053,0.249376,0.320706,0.225323,0.296653,0.160593,0.320706,0.691004,Bad
0.028735,0.265043,0.253615,0.236309,0.22488,0.141991,0.265043,0.116767,6.964073,2.711016,18.208092,-4.253057,11.244019,8.02111,18.208092,61.237297,0.005451,0.254809,0.232186,0.249357,0.226735,0.139334,0.254809,0.592454,0.069641,0.02711,0.182081,-0.042531,0.11244,0.080211,0.182081,0.612373,0.005768,0.211204,0.237651,0.205435,0.231882,0.128384,0.237651,0.623995,38.767136,153.61036,181.759222,114.843224,142.992085,87.82725,181.759222,-75.45123,5348.96354,11063.89662,13878.79916,5714.933079,8529.835616,6171.06499,13878.79916,5807.106819,0.032854,0.176599,0.2397,0.143744,0.206845,0.114438,0.2397,0.475722,Bad
-0.027227,0.030094,0.103076,0.057321,0.130303,0.056171,0.130303,0.212954,0.695444,2.326649,7.210595,1.631206,6.515152,3.251289,7.210595,61.470605,0.001214,-0.058517,-0.004455,-0.059731,-0.005669,0.028822,0.059731,0.647348,0.006954,0.023266,0.072106,0.016312,0.065152,0.032513,0.072106,0.614706,-0.017697,0.005141,0.045437,0.022838,0.063135,0.02667,0.063135,0.628126,-0.064187,-14.806269,-5.304385,-14.742082,-5.240198,6.96683,14.806269,-25.223577,653.164253,2204.923849,2545.125255,1551.759596,1891.961002,1220.286393,2545.125255,1753.758552,-0.007724,0.027562,0.073463,0.035287,0.081187,0.036696,0.081187,0.589531,Good
0.00403,0.023543,0.023543,0.019512,0.019512,0.012537,0.023543,0.010764,10.370544,-19.574899,11.346154,-29.945443,0.97561,14.356337,30.921053,60.810704,0,0.009756,0.009756,0.009756,0.009756,0.005633,0.009756,0.504878,0.103705,-0.195749,0.113462,-0.299454,0.009756,0.143563,0.309211,0.608107,0.011569,0.10921,0.514032,0.097641,0.502463,0.241898,0.514032,0.605329,110,-184360,-184266,-184470,-184376,106444.9308,184470,-123225,11000,2400,11800,-8600,800,5978.851618,11800,5500,0.043546,-0.049073,0.064867,-0.092618,0.021321,0.050437,0.113939,0.383365,Bad
-0.003179,-0.084933,-0.071361,-0.081754,-0.068182,0.044565,0.084933,0.286689,2.248201,-3.336905,-1.160889,-5.585106,-3.409091,2.328937,5.585106,65.3106,-0.014328,-0.058899,-0.043197,-0.044571,-0.028868,0.026781,0.058899,0.688389,0.022482,-0.033369,-0.011609,-0.055851,-0.034091,0.023289,0.055851,0.653106,-0.008995,-0.152787,-0.149552,-0.143792,-0.140557,0.084771,0.152787,0.725579,3.720241,7.372383,9.05887,3.652143,5.338629,4.030495,9.05887,7.047095,414.254165,1123.720729,1292.369377,709.466564,878.115212,606.042139,1292.369377,1120.699248,0.00706,-0.013931,-0.002197,-0.020991,-0.009257,0.008722,0.020991,0.614331,Good
0.011141,-0.080024,-0.133994,-0.091165,-0.145136,0.068781,0.145136,0.21497,-0.430069,-4.178075,-7.686847,-3.748006,-7.256778,3.602647,7.686847,60.299181,0.01082,-0.052976,-0.061748,-0.063796,-0.072568,0.036685,0.072568,0.613351,-0.004301,-0.041781,-0.076868,-0.03748,-0.072568,0.036026,0.076868,0.602992,0.027242,-0.077243,-0.045845,-0.104485,-0.073087,0.046597,0.104485,0.630235,-48229,-167196,-195063,-118967,-146834,93461.2456,195063,-135287,1100,3600,4100,2500,3000,1968.078589,4100,5300,-0.001531,-0.035244,-0.075706,-0.033713,-0.074175,0.035651,0.075706,0.5998,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
0.025862,0.747936,0.795093,0.722074,0.769231,0.438518,0.795093,0.383639,1.923077,30.260773,40.384615,28.337696,38.461538,20.279581,40.384615,71.280961,0,0.360196,0.384615,0.360196,0.384615,0.21524,0.384615,0.688797,0.019231,0.302608,0.403846,0.283377,0.384615,0.202796,0.403846,0.71281,0.010618,0.295638,0.421106,0.28502,0.410488,0.210223,0.421106,0.728777,80,25031,-1732,24951,-1812,12818.12226,26763,-64394.75,8000,37500,41200,29500,33200,20724.12041,41200,19325,0.013571,0.374214,0.407029,0.360644,0.393458,0.222082,0.407029,0.687883,Bad
0.095847,0.583453,0.498294,0.487606,0.402448,0.289378,0.583453,0.492357,5.06993,27.83528,25.192308,22.76535,20.122378,14.039575,27.83528,75.091005,0.075746,0.333552,0.324207,0.257807,0.248461,0.170878,0.333552,0.749374,0.050699,0.278353,0.251923,0.227653,0.201224,0.140396,0.278353,0.75091,0.048706,0.197935,0.251713,0.149229,0.203007,0.119472,0.251713,0.771409,16178.46479,12133.62087,9955.488985,-4044.843923,-6222.975806,6879.375505,16178.46479,-9270.962127,9768.194523,31930.35474,33050.56589,22162.16022,23282.37137,16436.2154,33050.56589,16731.27716,0.048121,0.306167,0.249174,0.258046,0.201052,0.149555,0.306167,0.742506,Bad
