KB_Relative_Information_StDev,PercCorrect_tr-x1_vs_te-x1,Kappa_tr_vs_te-x1,KB_Relative_Information_tr-x1_vs_te-x1,Kappa_tr_vs_tr-x1,Kappa_tr-x1_vs_te-x1,IR_Recall_tr-x1_vs_te-x1,IR_Precision_Avg,IR_Recall_Avg,IR_Recall_tr_vs_te-x1,PercCorrect_tr_vs_te-x1,KB_Relative_Information_Avg,KB_Relative_Information_tr_vs_te-x1,Unweighted_Macro_F_tr_vs_tr-x1,PercCorrect_Avg,SF_Entropy_Gain_tr_vs_tr-x1,IR_Recall_tr_vs_te,PercCorrect_tr_vs_te,KB_Relative_Information_Range,Kappa_Avg,Unweighted_Macro_F_tr_vs_te,Unweighted_Macro_F_tr-x1_vs_te-x1,Unweighted_Macro_F_tr-x1_vs_te,PercCorrect_tr_vs_tr-x1,PercCorrect_StDev,IR_Recall_tr_vs_tr-x1,KB_Relative_Information_tr_vs_te,KB_Relative_Information_tr-x1_vs_te,Kappa_Range,Unweighted_Macro_F_StDev,Unweighted_Macro_F_tr_vs_te-x1,IR_Precision_StDev,PercCorrect_Range,Kappa_tr_vs_te,IR_Recall_StDev,KB_Mean_Information_Avg,Unweighted_Macro_F_Avg,SF_Entropy_Gain_tr-x1_vs_te-x1,Kappa_StDev,IR_Recall_Range,IR_Precision_tr_vs_tr-x1,PercCorrect_tr-x1_vs_te,Kappa_tr-x1_vs_te,KB_Relative_Information_tr_vs_tr-x1,IR_Precision_Range,Weighted_AreaUnderROC_tr_vs_te,IR_Recall_tr-x1_vs_te,Weighted_AreaUnderROC_tr_vs_tr-x1,SF_Entropy_Gain_Range,Unweighted_Macro_F_Range,Weighted_AreaUnderROC_StDev,SF_Entropy_Gain_tr_vs_te,IR_Precision_tr_vs_te-x1,SF_Entropy_Gain_StDev,SF_Entropy_Gain_tr_vs_te-x1,Weighted_AreaUnderROC_tr-x1_vs_te,KB_Mean_Information_Range,IR_Precision_tr-x1_vs_te-x1,KB_Mean_Information_StDev,SF_Entropy_Gain_Avg,KB_Mean_Information_tr_vs_te-x1,Weighted_AreaUnderROC_tr_vs_te-x1,Weighted_AreaUnderROC_Avg,SF_Entropy_Gain_tr-x1_vs_te,KB_Mean_Information_tr_vs_te,KB_Mean_Information_tr-x1_vs_te-x1,Weighted_AreaUnderROC_tr-x1_vs_te-x1,Weighted_AreaUnderROC_Range,KB_Mean_Information_tr-x1_vs_te,KB_Mean_Information_tr_vs_tr-x1,IR_Precision_tr_vs_te,IR_Precision_tr-x1_vs_te,TargetLabel
14435.91525,47.661901,0.895915,21420.5424,-0.057323,0.953238,0.476619,0.649436,0.596403,0.449602,44.960212,10787.21043,25743.49824,-0.029545,59.640329,31.425001,0.576417,57.6417,28099.83013,0.300547,0.574531,0.589072,0.604077,-2.701689,30.855965,-0.027017,28099.83013,23776.87429,0.953238,0.336176,0.559527,0.304891,60.343389,0.715296,0.30856,0.186405,0.567349,227.428235,0.487837,0.603434,-0.01444,60.343389,0.772619,4322.955848,0.653765,0.407787,0.603434,-0.019403,316.699241,0.604077,0.267634,316.699241,0.639326,159.358634,258.853236,0.42719,0.694643,0.653765,0.364741,85.603769,0.558595,0.491857,0.720667,285.274239,0.669398,0.58384,0.51126,0.51126,0.694643,-0.025245,0.219289,0.233729,Bad
22869.48476,48.570227,0.913396,37400,-0.058008,0.971405,0.485702,0.748904,0.73675,0.459483,45.948276,21000,44600,-0.029022,73.674998,-20296,0.319737,31.973684,44600,0.393514,0.478956,0.505626,0.507977,-2.621951,23.964643,-0.02622,41000,33800,1.006288,0.284473,0.476604,0.234322,48.570227,0.94828,0.239646,0.4735,0.690545,12166,0.554854,0.485702,-0.025434,34.595635,1.006288,7200,0.492186,0.486306,0.345956,-0.025048,43218,0.507977,0.280976,22922,0.466752,18219.66974,-8130,0.511354,0.971405,0.492186,0.479293,-39990,0.918966,0.460654,0.695693,43218,0.639474,0.971405,0.485702,0.511354,0.691913,-0.052439,0.268961,0.294395,Bad
7426.99648,42.045455,0.815744,10513.56538,-0.025165,0.840909,0.420455,0.533569,0.504407,0.407753,40.775268,4440.815979,13316.4566,-0.015246,50.440682,20.383618,0.445605,44.560534,14818.23738,0.050184,0.443367,0.424304,0.458613,-1.270187,25.054076,-0.012702,14818.23738,12015.34616,0.840909,0.250944,0.409058,0.231813,45.830721,0.726208,0.250541,0.041932,0.502167,86.552157,0.453978,0.458307,0.007666,45.830721,0.751373,2802.891215,0.435031,0.3339,0.458307,0.003414,137.213339,0.458613,0.191035,137.213339,0.435031,66.291932,106.935775,0.330486,0.425296,0.427365,0.229553,12.888258,0.372705,0.331251,0.5763,116.829721,0.425296,0.366362,0.327836,0.3339,0.418952,0.006343,0.37036,0.362694,Good
9218.239361,13.828671,0.276943,14545.83316,0.000369,0.276573,0.138287,0.662898,0.64391,0.159615,15.961538,9699.133559,18707.25153,0.006295,64.391018,22.624117,0.074184,7.418445,18707.25153,0.249584,0.104845,0.127275,0.09855,2.132867,7.109308,0.021329,16713.14134,12551.72297,0.276943,0.068074,0.13357,0.079503,15.961538,0.216736,0.071093,0.240939,0.618413,16.569501,0.144512,0.159615,-0.009186,5.285578,0.216367,4161.41837,0.172897,0.163987,0.052856,-0.00286,77.076774,0.13357,0.099914,77.076774,0.163711,32.485373,39.193618,0.166846,0.291498,0.172897,0.144745,-78.61048,0.291498,0.178623,0.682812,54.452657,0.225958,0.265433,0.181482,0.181482,0.199893,0.026065,0.044584,0.05377,Bad
4082.115874,13.875598,0.294433,5831.046361,0.016921,0.277512,0.138756,0.597127,0.608236,0.180154,18.015414,4855.09534,9340.764527,0.017523,60.82363,25.891803,0.066119,6.611905,9340.764527,0.137832,0.177579,0.204539,0.160056,4.139816,7.714132,0.041398,6983.611502,3473.893336,0.315051,0.112021,0.222062,0.089168,18.015414,0.315051,0.077141,0.136719,0.534834,20.3771,0.171405,0.180154,0.006636,2.472089,0.298131,3509.718166,0.176128,0.134242,0.024721,0.005011,46.268904,0.222062,0.071804,23.197829,0.176128,18.938705,46.268904,0.129231,0.147609,0.169491,0.065422,9.656121,0.147609,0.118391,0.604149,-2.693974,0.02359,0.109333,0.11338,0.134242,-0.014686,0.038276,0.133237,0.1266,Bad
26322.58027,55.71509,1.115332,44351.07823,0.00103,1.114302,0.557151,0.741042,0.718418,0.557686,55.768614,21740.96724,46750.58826,0.000515,71.84182,23.995113,0.52858,52.858012,46769.84554,0.422473,0.579394,0.563862,0.578879,0.053524,31.364879,0.000535,46769.84554,44370.33551,1.115332,0.330087,0.564377,0.29196,55.768614,1.114533,0.313649,0.398404,0.704026,587.853816,0.643409,0.557686,0.000534,52.804487,1.113503,2399.510029,0.561075,0.616339,0.528045,0.000048,701.8122,0.579394,0.354911,701.8122,0.561075,374.229959,611.848928,0.616291,1.042716,0.560541,0.583337,122.481137,1.042716,0.613148,0.692178,677.817087,0.976925,1.04167,0.6131,0.616339,0.975879,0.001046,0.434996,0.434463,Bad
7071.739602,32.323232,0.610654,11389.90646,-0.03581,0.646465,0.323232,0.556695,0.530518,0.301034,30.10343,5095.749455,13186.31245,-0.022883,53.051807,3.739419,0.257774,25.777411,13186.31245,0.059107,0.284343,0.323395,0.307225,-2.219803,16.889268,-0.022198,12973.36862,11176.96263,0.646465,0.175811,0.300513,0.164208,32.323232,0.540434,0.168893,0.078641,0.522338,116.074401,0.344136,0.323232,0.006347,27.997214,0.576245,1796.405993,0.333503,0.41435,0.279972,-0.012395,134.213985,0.323395,0.246581,134.213985,0.333503,72.50688,119.813819,0.426745,0.384982,0.327155,0.200308,6.32843,0.366388,0.427069,0.563305,130.474567,0.302496,0.384982,0.439464,0.439464,0.32109,-0.018594,0.217382,0.211034,Bad
19612.21505,35.827703,0.72143,31440.04575,-0.00208,0.72351,0.361755,0.674688,0.624584,0.361019,36.101912,14493.38287,32712.80898,-0.00105,62.371461,4299.504849,0.477349,47.734874,36286.50242,0.30541,0.477318,0.378537,0.478367,0.274209,24.585745,-0.000736,36286.50242,35013.73918,0.730595,0.250403,0.377488,0.188245,47.734874,0.728515,0.24684,0.223562,0.620239,-20051.07016,0.419174,0.478085,-0.000523,47.460664,0.730595,1272.763238,0.365567,0.462709,0.478085,0.020159,42935.57944,0.478367,0.262583,27184.01413,0.365044,17735.97647,-15751.56532,0.44255,0.939575,0.365567,0.486994,-50785.53707,0.721653,0.466599,0.644134,22884.50928,0.929086,0.732142,0.44644,0.466599,0.939575,-0.010489,0.273572,0.274095,Bad
5222.821585,14.114833,0.311256,7159.939738,0.028959,0.282297,0.141148,0.6247,0.621925,0.203276,20.327553,5349.063556,11750.19171,0.0295,62.192468,42.988859,0.060001,6.000068,11750.19171,0.139914,0.220197,0.248941,0.190697,6.21272,8.623411,0.062127,9396.421141,4806.169168,0.345154,0.138026,0.278441,0.146336,20.327553,0.345154,0.086234,0.135401,0.494717,44.107587,0.182042,0.203276,0.002334,-0.212653,0.316195,4590.251972,0.256628,0.142268,-0.002127,-0.00134,87.096445,0.278441,0.077354,66.472401,0.252587,37.388412,87.096445,0.143607,0.224136,0.250254,0.095422,22.83431,0.224136,0.122954,0.600074,23.483542,0.087456,0.16918,0.124294,0.143607,0.0325,0.054956,0.256628,0.254294,Bad
9027.718714,26.010101,0.533653,12812.80948,0.013451,0.520202,0.260101,0.589085,0.583443,0.274769,27.476864,6885.521787,18782.09872,0.006212,58.344312,58.854261,0.203139,20.313855,18782.09872,0.131867,0.258667,0.274824,0.252455,1.466763,13.70167,0.014668,17217.80125,11248.51202,0.533653,0.154297,0.281036,0.137954,27.476864,0.514584,0.137017,0.121604,0.561621,140.106523,0.298869,0.274769,0.021302,18.847092,0.501133,5969.289234,0.289162,0.34756,0.188471,0.021791,214.542529,0.281036,0.19823,214.542529,0.289162,105.352258,198.960784,0.325769,0.50644,0.26786,0.237872,-26.45374,0.50644,0.360002,0.586239,155.688268,0.335827,0.447671,0.338212,0.360002,0.277058,0.058768,0.186395,0.165093,Bad
