@relation 'AlgoSelection-TrainSet (1)-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R32,40-48-weka.filters.unsupervised.attribute.Remove-R47-54'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Mean_Information_tr_vs_tr-x1 numeric
@attribute KB_Mean_Information_tr_vs_te numeric
@attribute KB_Mean_Information_tr_vs_te-x1 numeric
@attribute KB_Mean_Information_tr-x1_vs_te numeric
@attribute KB_Mean_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Mean_Information_StDev numeric
@attribute KB_Mean_Information_Range numeric
@attribute KB_Mean_Information_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.011028,0.249758,0.235418,0.23873,0.22439,0.137074,0.249758,0.111367,3.972795,44.797571,15.192308,40.824775,11.219512,20.253442,44.797571,49.201639,-0.003765,0.287371,0.331294,0.291136,0.335059,0.180579,0.335059,0.511695,0.039728,0.447976,0.151923,0.408248,0.112195,0.202534,0.447976,0.010608,0.066475,0.141232,0.055867,0.130624,0.064711,0.141232,28.250102,96.278673,60.948932,68.028571,32.69883,41.560913,96.278673,4.84273,0.034324,0.344453,0.231691,0.310128,0.197367,0.163645,0.344453,0.001874,3106.689086,10920.93985,8481.282379,7814.250766,5374.593293,4972.85374,10920.93985,2406.293134,0.014937,0.42766,0.227046,0.412723,0.21211,0.202123,0.42766,0.445543,Bad
0.00156,0.074394,0.095899,0.072834,0.09434,0.049498,0.095899,0.052936,0.640162,1.785714,5.357143,1.145553,4.716981,2.391214,5.357143,53.411388,-0.002052,0.160841,0.179578,0.162892,0.18163,0.099162,0.18163,0.512146,0.006402,0.017857,0.053571,0.011456,0.04717,0.023912,0.053571,0.001144,0.028542,0.050863,0.027397,0.049719,0.024365,0.050863,0.600452,3.302473,3.933527,2.70202,3.333074,1.948248,3.933527,0.32606,0.003508,0.028022,0.051505,0.024515,0.047997,0.02399,0.051505,0.017524,60.152307,400.034662,463.140069,339.882355,402.987762,234.528996,463.140069,197.9305,0.00298,0.09329,0.112338,0.090311,0.109358,0.059027,0.112338,0.492119,Bad
0.043492,0.349559,0.302233,0.306067,0.258741,0.177551,0.349559,0.051489,8.165728,18.771789,21.102791,10.606061,12.937063,9.788074,21.102791,55.24656,-0.003249,0.218795,0.218351,0.222044,0.2216,0.127138,0.222044,0.512244,0.081657,0.187718,0.211028,0.106061,0.129371,0.097881,0.211028,0.029159,0.221199,0.230809,0.19204,0.20165,0.122708,0.230809,9.968743,13.784467,14.421794,3.815724,4.453051,6.659399,14.421794,1.197771,0.069248,0.162121,0.198417,0.092874,0.12917,0.089942,0.198417,0.051719,1007.29264,1808.326116,1900.627378,801.033476,893.334738,882.481697,1900.627378,619.51182,0.039773,0.15184,0.15335,0.112067,0.113578,0.078323,0.15335,0.49836,Bad
-0.002062,0.377236,0.326487,0.379297,0.328549,0.204795,0.379297,0.133528,1.309106,9.549403,17.736538,8.240298,16.427432,8.227403,17.736538,59.710583,-0.004122,0.419343,0.407185,0.423465,0.411308,0.239845,0.423465,0.512295,0.013091,0.095494,0.177365,0.082403,0.164274,0.082274,0.177365,0.00836,0.14627,0.183385,0.13791,0.175025,0.094041,0.183385,10.69069,85.397481,86.63103,74.706791,75.94034,46.780977,86.63103,21.215185,-0.002277,0.192014,0.247879,0.194291,0.250156,0.129668,0.250156,0.089384,1912.56151,10201.23863,10876.70783,8288.677116,8964.146321,5594.195508,10876.70783,4569.44002,0.000979,0.200967,0.226818,0.199989,0.22584,0.12366,0.226818,0.547259,Bad
0.022688,0.303297,0.286325,0.280608,0.263636,0.164068,0.303297,0.133247,4.702797,1.392469,17.884615,-3.310328,13.181818,8.168151,17.884615,61.889645,-0.000406,0.390102,0.354667,0.390507,0.355072,0.215599,0.390507,0.512326,0.047028,0.013925,0.178846,-0.033103,0.131818,0.081682,0.178846,0.003068,0.11728,0.212634,0.114211,0.209565,0.102075,0.212634,34.189809,57.869458,82.15389,23.679649,47.964081,35.021531,82.15389,10.866967,0.045835,0.08726,0.245576,0.041425,0.19974,0.106731,0.245576,0.097512,3554.186025,7989.376032,10548.65443,4435.190007,6994.468404,4680.454772,10548.65443,4470.281296,0.022792,0.142599,0.203776,0.119807,0.180985,0.097138,0.203776,0.524679,Bad
-0.033247,0.162742,0.136564,0.195989,0.169811,0.097542,0.195989,0.070049,-2.240566,6.25,6.25,8.490566,8.490566,4.352438,8.490566,53.685142,-0.004188,0.160841,0.179578,0.165028,0.183766,0.099788,0.183766,0.51268,-0.022406,0.0625,0.0625,0.084906,0.084906,0.043524,0.084906,-0.01326,0.087929,0.076233,0.101189,0.089493,0.051724,0.101189,-0.334242,2.706719,2.960937,3.040961,3.295179,1.74106,3.295179,0.669114,-0.004268,0.036829,0.047575,0.041096,0.051843,0.026029,0.051843,0.004928,-30.2608,312.801247,338.367947,343.062047,368.628747,197.375611,368.628747,124.347584,-0.021278,0.082303,0.07744,0.103581,0.098718,0.053011,0.103581,0.523623,Bad
-0.033247,0.162742,0.136564,0.195989,0.169811,0.097542,0.195989,0.070049,-2.240566,6.25,6.25,8.490566,8.490566,4.352438,8.490566,53.685142,-0.004188,0.160841,0.179578,0.165028,0.183766,0.099788,0.183766,0.51268,-0.022406,0.0625,0.0625,0.084906,0.084906,0.043524,0.084906,-0.01326,0.087929,0.076233,0.101189,0.089493,0.051724,0.101189,-0.334242,2.706719,2.960937,3.040961,3.295179,1.74106,3.295179,0.669114,-0.004268,0.036829,0.047575,0.041096,0.051843,0.026029,0.051843,0.004928,-30.2608,312.801247,338.367947,343.062047,368.628747,197.375611,368.628747,124.347584,-0.021278,0.082303,0.07744,0.103581,0.098718,0.053011,0.103581,0.523623,Bad
0.017065,0.09633,0.111405,0.079264,0.09434,0.055821,0.111405,0.055205,2.425876,7.142857,7.142857,4.716981,4.716981,3.564004,7.142857,52.96496,0.003282,0.095534,0.097703,0.092251,0.094421,0.054859,0.097703,0.51307,0.024259,0.071429,0.071429,0.04717,0.04717,0.03564,0.071429,0.013262,0.082724,0.093419,0.069462,0.080157,0.047531,0.093419,1.03954,1.168597,1.307006,0.129057,0.267466,0.59595,1.307006,0.056162,0.008632,0.022485,0.028121,0.013853,0.019489,0.012827,0.028121,0.005951,103.954035,237.346311,251.656074,133.392277,147.702039,119.123414,251.656074,84.27915,0.013534,0.011336,0.015519,-0.002198,0.001985,0.006945,0.015519,0.498675,Bad
0.013593,0.092857,0.107932,0.079264,0.09434,0.054671,0.107932,0.054337,1.533019,6.25,6.25,4.716981,4.716981,3.227163,6.25,52.741745,0.011,0.099691,0.10186,0.088691,0.090861,0.055198,0.10186,0.51322,0.01533,0.0625,0.0625,0.04717,0.04717,0.032272,0.0625,0.007627,0.050251,0.060947,0.042625,0.05332,0.030376,0.060947,0.832375,1.8438,1.794728,1.011425,0.962353,0.878683,1.8438,0.223157,0.006631,0.03002,0.029917,0.023389,0.023286,0.015624,0.03002,0.005293,83.452331,268.308377,266.423368,184.856046,182.971038,134.6566,268.308377,91.123684,0.009513,0.045802,0.049984,0.036288,0.040471,0.025264,0.049984,0.516913,Bad
0.021149,0.41019,0.34038,0.389042,0.319231,0.212661,0.41019,0.128219,4.230769,7.450665,20.192308,3.219895,15.961538,8.701671,20.192308,61.262334,-0.001244,0.409007,0.384127,0.410252,0.385371,0.229543,0.410252,0.513262,0.042308,0.074507,0.201923,0.032199,0.159615,0.087017,0.201923,0.001208,0.155676,0.243026,0.154467,0.241818,0.120161,0.243026,32.049392,70.894693,89.671276,38.845301,57.621884,40.079044,89.671276,14.307863,0.040602,0.127315,0.264958,0.086712,0.224356,0.117211,0.264958,0.088259,3358.326743,8895.829424,10929.04481,5537.502681,7570.71807,5016.40503,10929.04481,4421.047256,0.020328,0.19244,0.233139,0.172112,0.212811,0.118451,0.233139,0.528656,Bad
0.021003,0.119135,0.134211,0.098132,0.113208,0.067897,0.134211,0.065623,2.375337,8.035714,8.035714,5.660377,5.660377,4.070907,8.035714,53.424023,0.014306,0.101929,0.104099,0.087623,0.089793,0.05566,0.104099,0.513512,0.023753,0.080357,0.080357,0.056604,0.056604,0.040709,0.080357,0.014276,0.084374,0.095069,0.070097,0.080793,0.048232,0.095069,1.2188,1.559441,1.67409,0.340641,0.45529,0.766832,1.67409,0.221963,0.010098,0.024985,0.029736,0.014887,0.019639,0.013664,0.029736,0.008532,121.879964,277.750701,290.054135,155.870737,168.17417,138.100565,290.054135,104.634668,0.01421,0.037505,0.041688,0.023295,0.027478,0.01971,0.041688,0.51159,Bad
-0.007927,0.027172,0.048677,0.035098,0.056604,0.025931,0.056604,0.031697,0.74124,0,3.571429,-0.74124,2.830189,1.698505,3.571429,52.493261,-0.012792,0.091707,0.076915,0.104499,0.089706,0.052975,0.104499,0.514288,0.007412,0,0.035714,-0.007412,0.028302,0.016985,0.035714,-0.005207,0.008073,0.030395,0.013281,0.035602,0.015701,0.035602,0.440779,2.510472,2.796938,2.069693,2.35616,1.421173,2.796938,0.336606,0.0029,0.013541,0.023851,0.010642,0.020951,0.010875,0.023851,0.012678,44.386046,229.024234,257.670852,184.638188,213.284806,129.492209,257.670852,122.040617,0.001948,0.053782,0.072829,0.051834,0.070881,0.036826,0.072829,0.472622,Bad
0.021003,0.119135,0.134211,0.098132,0.113208,0.067897,0.134211,0.065623,2.375337,8.035714,8.035714,5.660377,5.660377,4.070907,8.035714,53.424023,0.015248,0.083358,0.08395,0.068111,0.068702,0.044336,0.08395,0.514642,0.023753,0.080357,0.080357,0.056604,0.056604,0.040709,0.080357,0.014276,0.084374,0.095069,0.070097,0.080793,0.048232,0.095069,1.229599,1.437085,1.537935,0.207485,0.308335,0.712429,1.537935,0.142105,0.010239,0.024767,0.029085,0.014527,0.018846,0.013382,0.029085,0.008018,122.959933,271.289997,282.372592,148.330065,159.412659,134.160574,282.372592,100.102236,0.01421,0.037505,0.041688,0.023295,0.027478,0.01971,0.041688,0.51159,Bad
0.01652,0.076917,0.091992,0.060396,0.075472,0.044928,0.091992,0.045635,2.476415,6.25,6.25,3.773585,3.773585,3.065093,6.25,52.505896,0.009678,0.101929,0.104099,0.092251,0.094421,0.056826,0.104099,0.514669,0.024764,0.0625,0.0625,0.037736,0.037736,0.030651,0.0625,0.013681,0.069905,0.0806,0.056224,0.066919,0.040129,0.0806,1.117152,1.346031,1.406179,0.228879,0.289027,0.656805,1.406179,0.041709,0.009313,0.024887,0.028016,0.015574,0.018703,0.013207,0.028016,0.006109,111.715202,251.65452,259.145813,139.939318,147.430611,123.942781,259.145813,86.999898,0.013628,-0.002637,0.001545,-0.016265,-0.012083,0.007206,0.016265,0.491665,Bad
